session_index,question,source_rank,source
35,Какие задачи у финансового отдела?,3,"ПЛ-13 → 3 Задачи → 3.1 Ведение бухгалтерского учета, контроль за рациональным использованием материальных и финансовых ресурсов, обеспечение сохранности собственности Института."
36,Куда нужно класть файлы при регистрации архивов?,1,"ИН-15-РегАрх → 2 Порядок приемки, регистрации и архивирования источников информации."
36,Куда нужно класть файлы при регистрации архивов?,2,"ИН-15-РегАрх → 2 Порядок приемки, регистрации и архивирования источников информации. → 3.1 Перед началом работ по проекту сотрудники должны ознакомиться с перечнем документов находящихся в архиве института. Такую информацию можно получить на внутреннем портале, вкладка архивы."
36,Куда нужно класть файлы при регистрации архивов?,3,"ИН-15-РегАрх → 2 Порядок приемки, регистрации и архивирования источников информации. → 3.2 В том случае если информации недостаточно, то необходимо сделать информационный запрос в организацию заказчика или другую стороннюю организацию, обладающую необходимой информацией."
37,Какая структура у каталогов диска P?,1,РИ-10-СтруктКат → 2 Основная часть
37,Какая структура у каталогов диска P?,2,РИ-10-СтруктКат → 2 Основная часть → 2.3 Описание структуры каталогов диска 'P':
38,Что такое реестр экологических аспектов?,1,ПР-6.1.2-ИЭА → 4 Термины и сокращения
38,Что такое реестр экологических аспектов?,2,ПР-6.1.2-ИЭА → 4 Термины и сокращения → 4.1 Термины.
38,Что такое реестр экологических аспектов?,3,ПР-6.1.2-ИЭА → 4 Термины и сокращения → 4.2 Сокращения
39,Кому подчиняется полевая партия?,1,ПЛ-08-ПП → 2 Структура
39,Кому подчиняется полевая партия?,2,"ПЛ-08-ПП → 2 Структура → 2.1 Полевая партия подчиняется непосредственно начальнику полевой партии Отдела, руководству Отдела и Института согласно утвержденной организационной структуре."
40,В каком документе описан порядок внешних поставок?,1,ИН-01-ВП → 2 ИНСТРУКЦИЯ Внешние поставки «ИН-01-ВП»
40,В каком документе описан порядок внешних поставок?,2,ИН-01-ВП → 1 Назначение
41,Где прописаны правила командировок?,1,ПЛ-13-К → 2 Нормативные ссылки
41,Где прописаны правила командировок?,2,ПЛ-13-К → 7 Приложение Г
42,Что будет если превысить лимиты корпоративной мобильной связи?,1,ПЛ-13-КМС → 4 Порядок предоставления корпоративной мобильной связи
42,Что будет если превысить лимиты корпоративной мобильной связи?,2,"ПЛ-13-КМС → 4 Порядок предоставления корпоративной мобильной связи → 4.1 В целях повышения оперативности и эффективности принятия управленческих решений, связанных с производственно-хозяйственной деятельностью, Институт за свой счет обеспечивает установленным категориям сотрудников возможность использования корпоративной мобильной связи."
42,Что будет если превысить лимиты корпоративной мобильной связи?,3,ПЛ-13-КМС → 4 Порядок предоставления корпоративной мобильной связи → 4.2 Работники обеспечиваются корпоративной мобильной связью только на период работы в Институте путем выдачи работнику корпоративной SIM-карты.
43,Что входит в персональные данные сотрудников?,1,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных
43,Что входит в персональные данные сотрудников?,2,"ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.1 Персональные данные работника - информация, необходимая работодателю в связи с трудовыми отношениями и касающиеся конкретного работника. Под информацией о работниках понимаются сведения о фактах, событиях и обстоятельствах жизни работника, позволяющие идентифицировать его личность."
43,Что входит в персональные данные сотрудников?,3,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.2 В состав персональных данных работника входят:
44,Какие данные являются персональными?,1,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных
44,Какие данные являются персональными?,2,"ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.1 Персональные данные работника - информация, необходимая работодателю в связи с трудовыми отношениями и касающиеся конкретного работника. Под информацией о работниках понимаются сведения о фактах, событиях и обстоятельствах жизни работника, позволяющие идентифицировать его личность."
44,Какие данные являются персональными?,3,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.2 В состав персональных данных работника входят:
45,Какие задачи у финансового отдела?,1,ПЛ-13 → 2 ПОЛОЖЕНИЕ Об учетно-финансовом отделе «ПЛ-13»
45,Какие задачи у финансового отдела?,2,ПЛ-13 → 3 Задачи
45,Какие задачи у финансового отдела?,3,"ПЛ-13 → 3 Задачи → 3.1 Ведение бухгалтерского учета, контроль за рациональным использованием материальных и финансовых ресурсов, обеспечение сохранности собственности Института."
46,Куда нужно класть файлы при регистрации архивов?,1,"ИН-15-РегАрх → 2 Порядок приемки, регистрации и архивирования источников информации."
46,Куда нужно класть файлы при регистрации архивов?,2,"ИН-15-РегАрх → 2 Порядок приемки, регистрации и архивирования источников информации. → 3.1 Перед началом работ по проекту сотрудники должны ознакомиться с перечнем документов находящихся в архиве института. Такую информацию можно получить на внутреннем портале, вкладка архивы."
46,Куда нужно класть файлы при регистрации архивов?,3,"ИН-15-РегАрх → 2 Порядок приемки, регистрации и архивирования источников информации. → 3.2 В том случае если информации недостаточно, то необходимо сделать информационный запрос в организацию заказчика или другую стороннюю организацию, обладающую необходимой информацией."
47,Какая структура у каталогов диска P?,1,РИ-10-СтруктКат → 2 Основная часть
47,Какая структура у каталогов диска P?,2,РИ-10-СтруктКат → 2 Основная часть → 2.3 Описание структуры каталогов диска 'P':
48,Что такое реестр экологических аспектов?,1,ПР-6.1.2-ИЭА → 4 Термины и сокращения
48,Что такое реестр экологических аспектов?,2,ПР-6.1.2-ИЭА → 4 Термины и сокращения → 4.1 Термины.
48,Что такое реестр экологических аспектов?,3,ПР-6.1.2-ИЭА → 4 Термины и сокращения → 4.2 Сокращения
49,Кому подчиняется полевая партия?,1,ПЛ-08-ПП → 2 Структура
49,Кому подчиняется полевая партия?,2,"ПЛ-08-ПП → 2 Структура → 2.1 Полевая партия подчиняется непосредственно начальнику полевой партии Отдела, руководству Отдела и Института согласно утвержденной организационной структуре."
50,В каком документе описан порядок внешних поставок?,1,ИН-01-ВП → 2 ИНСТРУКЦИЯ Внешние поставки «ИН-01-ВП»
50,В каком документе описан порядок внешних поставок?,2,ИН-01-ВП → 1 Назначение
51,Где прописаны правила командировок?,1,ПЛ-13-К → 2 Нормативные ссылки
51,Где прописаны правила командировок?,2,ПЛ-13-К → 7 Приложение Г
52,Есть ли у нас документ про управление рисками?,1,ИН-01-УР → 5 Основные положения
52,Есть ли у нас документ про управление рисками?,2,ИН-01-УР → 5 Основные положения → 5.1 Процесс управления рисками включает следующие подпроцессы:
52,Есть ли у нас документ про управление рисками?,3,ИН-01-УР → 5 Основные положения → 5.2 Ответственность и полномочия по управлению рисками определены в:
53,В каком документе описана защита персональных данных сотрудников?,1,ПЛ-20-ЗПДР → 2 ПОЛОЖЕНИЕ О защите персональных данных работников «ПЛ-2-ЗПДР»
53,В каком документе описана защита персональных данных сотрудников?,2,ПЛ-20-ЗПДР → 1 Общие положения
54,Где описываются правила по обращению с отходами,1,ИН-01-ПОО → 3 Нормативные ссылки
54,Где описываются правила по обращению с отходами,2,ИН-01-ПОО → 7 Порядок учета отходов
55,Какой документ регулирует корпоративную мобильную связь?,1,ПЛ-13-КМС → 2 Нормативные ссылки
55,Какой документ регулирует корпоративную мобильную связь?,2,ПЛ-13-КМС → 5 Правила пользования корпоративной мобильной связью
56,В каком документе найти сруткуру каталогов,1,РИ-10-СтруктКат → 4 Права доступа к каталогам
56,В каком документе найти сруткуру каталогов,2,РИ-10-СтруктКат → 2 РАБОЧАЯ ИНСТРУКЦИЯ Структура каталогов «РИ-10-СтруктКат»
57,Есть ли регламент по идентификации экологических аспектов?,1,ПР-6.1.2-ИЭА → 5 Идентификация всех возможных экологических аспектов
57,Есть ли регламент по идентификации экологических аспектов?,2,ПР-6.1.2-ИЭА → 6 Определение существенного воздействия экологических аспектов на ОС
58,Какие задачи у отдела бурения и проектирования строительства скважин?,1,ПЛ-12 → 1 Общие положения
58,Какие задачи у отдела бурения и проектирования строительства скважин?,2,ПЛ-12 → 3 Задачи
59,Чем занимается полевая партия отдела инженерных изысканий?,1,ПЛ-08-ПП → 2 ПОЛОЖЕНИЕ О полевой партии отдела инженерных изысканий «ПЛ-08-ПП»
59,Чем занимается полевая партия отдела инженерных изысканий?,2,ПЛ-08-ПП → 4 Функции
59,Чем занимается полевая партия отдела инженерных изысканий?,3,"ПЛ-08-ПП → 4 Функции → 4.1 Выполнение маркшейдерских съёмок, вынос в натуру скважин, создание, обновление, расширение опорных маркшейдерских сетей, создание соответствующих отчётов."
60,Какие функции у учетно-финансового отдела?,1,ПЛ-13 → 2 Приложение 2. Перечень внутренней документации ИСМ отдела
60,Какие функции у учетно-финансового отдела?,2,ПЛ-13 → 1 Общие положения
60,Какие функции у учетно-финансового отдела?,3,ПЛ-13 → 1 Общие положения → 1.1 Учетно-финансовый отдел является структурным подразделением АО «ВолгоградНИПИнефть» (далее по тексту Институт).
61,Какие есть стадии выполнения проектных работ?,1,ИН-01-СВР → 6 Предпроектная проработка
61,Какие есть стадии выполнения проектных работ?,2,"ИН-01-СВР → 6 Предпроектная проработка → 6.1 Предпроектная проработка, как правило, инициируется заявкой Заказчика официальным письмом на имя генерального директора Института, с указанием интересующих работ и услуг, либо поступлением информации о выигранном тендере."
61,Какие есть стадии выполнения проектных работ?,3,"ИН-01-СВР → 6 Предпроектная проработка → 6.2 На этой стадии должны быть определены, проанализированы и зафиксированы документально требования Заказчика к ПД. По результатам анализа оформляется и согласовывается с Заказчиком ЗП/ТЗ/ГЗ и Календарный план выполнения работ, где он применим."
62,Как транспортировать отходы IV класса опасности,1,ИН-01-ПОО → 8 Требования к транспортированию отходов
62,Как транспортировать отходы IV класса опасности,2,ИН-01-ПОО → 8 Требования к транспортированию отходов → 8.1 Деятельность по транспортированию отходов II класса
62,Как транспортировать отходы IV класса опасности,3,ИН-01-ПОО → 8 Требования к транспортированию отходов → 8.2 Транспортирование отходов III-IV класса опасности
63,Что входит в процесс управления рисками?,1,"ИН-01-УР → 4 Термины, обозначения, сокращения"
63,Что входит в процесс управления рисками?,2,"ИН-01-УР → 4 Термины, обозначения, сокращения → 4.1 Термины и определения:"
63,Что входит в процесс управления рисками?,3,"ИН-01-УР → 4 Термины, обозначения, сокращения → 4.2 Применяемые сокращения:"
64,Что значит накопление отходов?,1,ИН-01-ПОО → 10 Безопасное обращение с отходами
64,Что значит накопление отходов?,2,"ИН-01-ПОО → 10 Безопасное обращение с отходами → 10.1 Персонал, занятый накоплением и передачей отходов сторонним организациям, должен быть обучен правилам безопасности по обращению с отходами в объеме настоящей инструкции и инструкции по охране труда и промышленной безопасности  по  данному  рабочему  месту  и  несет  личную  ответственность  за соблюдение определенных в них требований безопасности."
64,Что значит накопление отходов?,3,ИН-01-ПОО → 10 Безопасное обращение с отходами → 10.2 Способы  накопления  отходов  и  их  передачи  сторонним  организациям  должны исключать возможность загрязнения окружающей территории.
65,Что такое субподрядная работа?,1,"ПЛ-08-ОВКК → 11 Требования, предъявляемые к субподрядным организациям."
66,Что такое верификация поставки?,1,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг)"
66,Что такое верификация поставки?,2,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.1 Ответственное лицо организует входной контроль (верификацию) поставленной продукции, СИ, оборудования и программных продуктов до начала эксплуатации, с привлечением по необходимости специалистов Института."
66,Что такое верификация поставки?,3,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.2 Верификация продукции, как правило, осуществляется визуально."
67,Как оформляется заявление командировку?,1,ПЛ-13-К → 1 Приложение А
67,Как оформляется заявление командировку?,2,ПЛ-13-К → 1 Приложение А → 2.1 Заявка на оформление приказа на командировку и получения денежных средств
67,Как оформляется заявление командировку?,3,ПЛ-13-К → 1 Приложение А → 2.2 Цель командировки
