session_index,question,level,number,text_len,score,source
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.9,90,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.9 7.9"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.10,74,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.10 7.10"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.11,66,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.11 7.11"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.12,72,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.12 7.12"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.13,152,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.13 7.13"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.14,270,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.14 7.14"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.15,52,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.15 7.15"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.16,75,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.16 7.16"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",1,6,806,0.0,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,6.1,688,0.5293,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.1 Первичная оценка и выбор поставщиков"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,6.3,439,0.5196,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.3 В случае появления на рынке новых поставщиков, неудовлетворенностью работы с ранее выбранными, проводится внеплановая оценка/переоценка и выбор поставщиков в соответствии с процедурой оценки (п.6.1 данной инструкции)."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,6.4,1634,0.7939,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.4 Критерии оценки устанавливаются в зависимости от вида оценки (первичная/плановая), типа и назначения внешней поставки. Оценка должна осуществляться как минимум по трём критериям. Количество выбранных критериев зависит от особенностей каждой конкретной поставки. В качестве критериев оценки для поставщиков могут быть выбраны следующие показатели и требования:"
3,Нужно ли ежегодно проводить переоценку поставщиков?,1,6,806,0.0,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков."
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,6.1,688,0.5093,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.1 Первичная оценка и выбор поставщиков"
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,6.2,299,0.8603,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.2 Плановая оценка/переоценка поставщиков"
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,6.3,439,0.5284,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.3 В случае появления на рынке новых поставщиков, неудовлетворенностью работы с ранее выбранными, проводится внеплановая оценка/переоценка и выбор поставщиков в соответствии с процедурой оценки (п.6.1 данной инструкции)."
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,6.4,1634,0.5006,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.4 Критерии оценки устанавливаются в зависимости от вида оценки (первичная/плановая), типа и назначения внешней поставки. Оценка должна осуществляться как минимум по трём критериям. Количество выбранных критериев зависит от особенностей каждой конкретной поставки. В качестве критериев оценки для поставщиков могут быть выбраны следующие показатели и требования:"
4,Надо ли каждый год переоценивать поставщиков?,1,6,806,0.0,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков."
4,Надо ли каждый год переоценивать поставщиков?,2,6.1,688,0.5093,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.1 Первичная оценка и выбор поставщиков"
4,Надо ли каждый год переоценивать поставщиков?,2,6.2,299,0.8603,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.2 Плановая оценка/переоценка поставщиков"
4,Надо ли каждый год переоценивать поставщиков?,2,6.3,439,0.5284,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.3 В случае появления на рынке новых поставщиков, неудовлетворенностью работы с ранее выбранными, проводится внеплановая оценка/переоценка и выбор поставщиков в соответствии с процедурой оценки (п.6.1 данной инструкции)."
4,Надо ли каждый год переоценивать поставщиков?,2,6.4,1634,0.5006,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.4 Критерии оценки устанавливаются в зависимости от вида оценки (первичная/плановая), типа и назначения внешней поставки. Оценка должна осуществляться как минимум по трём критериям. Количество выбранных критериев зависит от особенностей каждой конкретной поставки. В качестве критериев оценки для поставщиков могут быть выбраны следующие показатели и требования:"
5,Какие документы нужно получить от поставщика после поставки?,1,7,187,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
5,Какие документы нужно получить от поставщика после поставки?,2,7.6,218,0.5102,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.6 7.6"
5,Какие документы нужно получить от поставщика после поставки?,2,7.7,124,0.5484,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.7 7.7"
5,Какие документы нужно получить от поставщика после поставки?,2,7.8,39,0.5415,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.8 7.8"
5,Какие документы нужно получить от поставщика после поставки?,2,7.14,270,0.8394,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.14 7.14"
5,Какие документы нужно получить от поставщика после поставки?,1,8,51,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг)"
5,Какие документы нужно получить от поставщика после поставки?,2,8.5,207,0.8198,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.5 Оборудование должно быть обеспечено необходимыми инструкциями по использованию со стороны поставщика."
5,Какие документы нужно получить от поставщика после поставки?,2,8.6,746,0.5182,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.6 Результатом проверок может быть:"
6,Перечисли документы которые нужно получить у поставщика,1,7,187,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
6,Перечисли документы которые нужно получить у поставщика,2,7.4,53,0.5066,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.4 7.4"
6,Перечисли документы которые нужно получить у поставщика,2,7.6,218,0.5044,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.6 7.6"
6,Перечисли документы которые нужно получить у поставщика,2,7.14,270,0.8565,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.14 7.14"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",1,8,51,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг)"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.1,415,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.1 Ответственное лицо организует входной контроль (верификацию) поставленной продукции, СИ, оборудования и программных продуктов до начала эксплуатации, с привлечением по необходимости специалистов Института."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.2,127,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.2 Верификация продукции, как правило, осуществляется визуально."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.3,163,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.3 Подтверждением приемки является подпись ответственного лица в накладной (акте)."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.4,398,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.4 Входной контроль поставленной продукции заключается в сопоставлении сопроводительной документации и проверке:"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.5,207,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.5 Оборудование должно быть обеспечено необходимыми инструкциями по использованию со стороны поставщика."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.6,746,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.6 Результатом проверок может быть:"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.7,233,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.7 Оборудованию, поступившему на баланс Института, присваиваются инвентарные номера, и ведётся его регистрация в УФО."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.8,441,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.8 Проверку предоставления работ и услуг субподрядными организациями и анализ представляемых отчетных документов осуществляет руководитель структурного подразделения с привлечением по необходимости специалистов Института."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.9,531,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.9 Любая продукция, работа (услуга), характеристики которой не соответствуют установленным требованиям, своевременно идентифицируется, регистрируется и не используется до принятия решений уполномоченным персоналом о ее корректировке, изъятии, замене, возврате и т.п."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,8.10,298,0.0,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.10 Информация о несоответствующей поставке незамедлительно направляется в письменном виде поставщику исполнителем, указанным в поручении руководства."
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,1,1,12,0.0,ИН-01-ВП → 1 Приложение А
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,2,1.3,487,0.8226,ИН-01-ВП → 1 Приложение А → 1.3 Требования к компьютерам:
9,Есть ли у нас регламент по обращению с отходами?,1,3,1637,0.0,ИН-01-ПОО → 3 Нормативные ссылки
10,В чем разница между накоплением и хранением отходов?,1,4,5908,0.0,"ИН-01-ПОО → 4 Термины, обозначения, сокращения"
11,В чем разница между накоплением и хранением отходов?,1,4,5908,0.0,"ИН-01-ПОО → 4 Термины, обозначения, сокращения"
12,Какие есть классы опасности отходов?,1,5,20,0.0,ИН-01-ПОО → 5 Основные положения
12,Какие есть классы опасности отходов?,2,5.1,473,0.8759,"ИН-01-ПОО → 5 Основные положения → 5.1 Отходы в зависимости от степени негативного воздействия на окружающую среду подразделяются  в  соответствии  с  критериями,  установленными  федеральным органом исполнительной власти, осуществляющим государственное регулирование в области охраны окружающей среды, на пять классов опасности:"
12,Какие есть классы опасности отходов?,2,5.3,1202,0.5779,ИН-01-ПОО → 5 Основные положения → 5.3 Согласно Федеральному закону РФ «Об отходах производства и потребления» все подразделения Института обязаны:
13,Сколько можно хранить отходы у себя на территории?,1,6,28,0.0,ИН-01-ПОО → 6 Порядок накопления отходов
13,Сколько можно хранить отходы у себя на территории?,2,6.1,470,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.1 В результате деятельности в подразделениях Института образуются отходы, которые подлежат накоплению, дальнейшей передаче на сбор, транспортирование, обработку, утилизацию, обезвреживание, использование и/или размещение (захоронение)"
13,Сколько можно хранить отходы у себя на территории?,2,6.2,198,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.2 Накопление отходов на территории подразделений Института допускается на срок не более 11 месяцев
13,Сколько можно хранить отходы у себя на территории?,2,6.3,338,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.3 Накопление отходов должно осуществляться в специально отведенных и оборудованных для этого местах, накопление отходов вне специально оборудованных мест не допускается"
13,Сколько можно хранить отходы у себя на территории?,2,6.4,416,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.4 Оборудование мест накопления проводится с учетом класса опасности, физикохимических свойств, реакционной способности образующихся отходов, а также с учетом требований соответствующих нормативных документов"
13,Сколько можно хранить отходы у себя на территории?,2,6.5,126,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.5 Отходы допускается накапливать:
13,Сколько можно хранить отходы у себя на территории?,2,6.6,1040,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.6 К местам (площадкам) накопления отходов предъявляются следующие требования:
13,Сколько можно хранить отходы у себя на территории?,2,6.7,156,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.7 Отходы I класса опасности не образуются в результате деятельности Института
13,Сколько можно хранить отходы у себя на территории?,2,6.8,520,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.8 Отходы II класса опасности должны накапливаться в закрытом подсобном помещении (или его части) с твердым покрытием пола в случае необходимости в герметичной таре, раздельно с другими видами отходов. Допускается накопление на стеллажах."
13,Сколько можно хранить отходы у себя на территории?,2,6.9,368,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.9 Отходы III класса опасности должны накапливаться в металлических, стеклянных или пластиковых емкостях, контейнерах с плотно закрывающейся крышкой, раздельно с другими видами отходов"
13,Сколько можно хранить отходы у себя на территории?,2,6.10,637,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.10 Отходы IV-V классов опасности, запрещенные к захоронению на полигоне"
13,Сколько можно хранить отходы у себя на территории?,2,6.11,363,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.11 Отходы IV-V классов опасности, предназначенные для захоронения на полигоне"
13,Сколько можно хранить отходы у себя на территории?,2,6.12,199,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.12 Накопление ТКО
14,Есть ли ограничения по сроку хранения отходов I класса?,1,6,28,0.0,ИН-01-ПОО → 6 Порядок накопления отходов
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.1,470,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.1 В результате деятельности в подразделениях Института образуются отходы, которые подлежат накоплению, дальнейшей передаче на сбор, транспортирование, обработку, утилизацию, обезвреживание, использование и/или размещение (захоронение)"
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.2,198,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.2 Накопление отходов на территории подразделений Института допускается на срок не более 11 месяцев
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.3,338,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.3 Накопление отходов должно осуществляться в специально отведенных и оборудованных для этого местах, накопление отходов вне специально оборудованных мест не допускается"
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.4,416,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.4 Оборудование мест накопления проводится с учетом класса опасности, физикохимических свойств, реакционной способности образующихся отходов, а также с учетом требований соответствующих нормативных документов"
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.5,126,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.5 Отходы допускается накапливать:
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.6,1040,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.6 К местам (площадкам) накопления отходов предъявляются следующие требования:
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.7,156,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.7 Отходы I класса опасности не образуются в результате деятельности Института
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.8,520,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.8 Отходы II класса опасности должны накапливаться в закрытом подсобном помещении (или его части) с твердым покрытием пола в случае необходимости в герметичной таре, раздельно с другими видами отходов. Допускается накопление на стеллажах."
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.9,368,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.9 Отходы III класса опасности должны накапливаться в металлических, стеклянных или пластиковых емкостях, контейнерах с плотно закрывающейся крышкой, раздельно с другими видами отходов"
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.10,637,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.10 Отходы IV-V классов опасности, запрещенные к захоронению на полигоне"
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.11,363,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.11 Отходы IV-V классов опасности, предназначенные для захоронения на полигоне"
14,Есть ли ограничения по сроку хранения отходов I класса?,2,6.12,199,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.12 Накопление ТКО
15,Есть ли ограничения по сроку хранения отходов?,1,6,28,0.0,ИН-01-ПОО → 6 Порядок накопления отходов
15,Есть ли ограничения по сроку хранения отходов?,2,6.1,470,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.1 В результате деятельности в подразделениях Института образуются отходы, которые подлежат накоплению, дальнейшей передаче на сбор, транспортирование, обработку, утилизацию, обезвреживание, использование и/или размещение (захоронение)"
15,Есть ли ограничения по сроку хранения отходов?,2,6.2,198,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.2 Накопление отходов на территории подразделений Института допускается на срок не более 11 месяцев
15,Есть ли ограничения по сроку хранения отходов?,2,6.3,338,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.3 Накопление отходов должно осуществляться в специально отведенных и оборудованных для этого местах, накопление отходов вне специально оборудованных мест не допускается"
15,Есть ли ограничения по сроку хранения отходов?,2,6.4,416,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.4 Оборудование мест накопления проводится с учетом класса опасности, физикохимических свойств, реакционной способности образующихся отходов, а также с учетом требований соответствующих нормативных документов"
15,Есть ли ограничения по сроку хранения отходов?,2,6.5,126,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.5 Отходы допускается накапливать:
15,Есть ли ограничения по сроку хранения отходов?,2,6.6,1040,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.6 К местам (площадкам) накопления отходов предъявляются следующие требования:
15,Есть ли ограничения по сроку хранения отходов?,2,6.7,156,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.7 Отходы I класса опасности не образуются в результате деятельности Института
15,Есть ли ограничения по сроку хранения отходов?,2,6.8,520,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.8 Отходы II класса опасности должны накапливаться в закрытом подсобном помещении (или его части) с твердым покрытием пола в случае необходимости в герметичной таре, раздельно с другими видами отходов. Допускается накопление на стеллажах."
15,Есть ли ограничения по сроку хранения отходов?,2,6.9,368,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.9 Отходы III класса опасности должны накапливаться в металлических, стеклянных или пластиковых емкостях, контейнерах с плотно закрывающейся крышкой, раздельно с другими видами отходов"
15,Есть ли ограничения по сроку хранения отходов?,2,6.10,637,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.10 Отходы IV-V классов опасности, запрещенные к захоронению на полигоне"
15,Есть ли ограничения по сроку хранения отходов?,2,6.11,363,0.0,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.11 Отходы IV-V классов опасности, предназначенные для захоронения на полигоне"
15,Есть ли ограничения по сроку хранения отходов?,2,6.12,199,0.0,ИН-01-ПОО → 6 Порядок накопления отходов → 6.12 Накопление ТКО
16,Кто такой федеральный оператор в контексте отходов?,1,9,73,0.0,ИН-01-ПОО → 9 Требования к передаче отходов сторонним специализированным организациям
16,Кто такой федеральный оператор в контексте отходов?,2,9.1,471,0.7991,ИН-01-ПОО → 9 Требования к передаче отходов сторонним специализированным организациям → 9.1 Отходы II класса опасности передаются только Федеральному оператору по обращению с отходами I и II классов опасности или привлеченному им оператору по обращению с отходами I и II классов опасности на основании заключенного договора
