session_index,question,rank_in_log,score,dense_score,sparse_score,sum_score,title
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",8,0.7452,0.75,0.0,0.0,"4.1 Закупки оргтехники, комплектующих и программных продуктов."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",9,0.7407,0.74,0.0,0.7,"8.7 По решению ГИПа (ОИ) нулевая редакция может не оформляться в случаях, когда внутренняя экспертиза интегрирована в процесс разработки ПД. Заказчику направляется первая редакция ПД. Таким образом, свидетельством проведения внутренней экспертизы является факт выпуска первой редакции ПД . Качество проведения внутренней экспертизы оценивается по характеру замечаний, выставляемых Заказчиком, или внешней экспертизой."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",10,0.7374,0.74,0.0,0.73,2 Оборудование
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",11,0.7365,0.74,0.0,0.71,1.2 Инструкция определяет порядок действий и согласований при внешних поставках:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",12,0.7355,0.74,0.53,0.72,"5.1 Институт обеспечивает соответствие приобретенных внешних процессов, продукции и услуг установленным требованиям. Процесс внешних поставок осуществляется в соответствии с данной инструкцией."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",13,0.7336,0.73,0.0,0.0,Производство лабораторного оборудования
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",14,0.7315,0.73,0.0,0.72,3 Метрологическое обеспечение
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",15,0.7284,0.73,0.0,0.0,5.1.8 Запрещается самостоятельно устанавливать программное обеспечение без согласования с сотрудниками отдела ИТ.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",16,0.728,0.73,0.0,0.71,"3.2 В том случае если информации недостаточно, то необходимо сделать информационный запрос в организацию заказчика или другую стороннюю организацию, обладающую необходимой информацией."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",17,0.7278,0.73,0.0,0.71,"5.2 Ответственность за изучение, анализ, сбор, подготовку, хранение информации о проводимых тендерах возлагается на ОИ соответствующего производственного подразделения, в случае его отсутствия - на сотрудника назначенного НО."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",18,0.7274,0.73,0.0,0.69,"5.1 Запрашивать от Заказчиков и структурных подразделений Института сведения, необходимые для работы."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",19,0.7324,0.73,0.0,0.73,"11 Требования, предъявляемые к субподрядным организациям."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",20,0.726,0.73,0.0,0.0,"3.8 Анализ состояния у Заказчика (по договору) промышленной безопасности в части вопросов маркшейдерского контроля, охраны окружающей среды и охраны недр, в том числе путем проведения соответствующих экспертиз."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",21,0.7234,0.72,0.0,0.7,10.6 Вместе с окончательной редакцией проекта и платежными документами Заказчику направляется соответствующая Анкета оценки Заказчиком продукции АО «ВолгоградНИПИнефть» :
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",22,0.7572,0.72,0.0,0.76,2 Область применения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",23,0.7228,0.72,0.0,0.7,6 Основные этапы подготовки ТП.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",24,0.7215,0.72,0.0,0.72,"7.22 В случае отсутствия согласования проектных решений Заказчиком и/или мотивированных замечаний, ГИП (ОИ) инициирует совещание с участием РПП, для принятия решения о завершении или приостановке выполнения проекта."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",25,0.7341,0.72,0.0,0.73,4 Персонал
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",26,0.7209,0.72,0.0,0.71,3.1 Термины и определения:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",27,0.7199,0.72,0.0,0.0,"ПОЛОЖЕНИЕ По организации внутреннего контроля качества и приемки топографо-геодезических, картографических и проектно-изыскательских работ «ПЛ-08-ОВКК»"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",28,0.7196,0.72,0.51,0.7,"7.16 К средствам контроля относятся: процедуры утверждения (авторизации, проверки,  сверки),  анализ  операционных  показателей,  охрана,  распределение полномочий и т.д."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",29,0.7188,0.72,0.55,0.7,6.2 Оценка существенности экологических аспектов по суммарному количеству баллов
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",30,0.7357,0.72,0.0,0.74,1 Общие положения. Контроль качества приемки работ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",31,0.7178,0.72,0.0,0.7,"7.8 До запроса ИД у Заказчика ГИП (ОИ) обязан ознакомиться с информацией, полученной Институтом ранее, проанализировав перечень ИД по объекту проектирования, находящихся в архиве Института."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",32,0.7176,0.72,0.0,0.69,Приложение 3. Перечень программного обеспечения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",33,0.7176,0.72,0.0,0.69,"4.25 Своевременное проведение метрологического обследования (поверки) геодезического оборудования, средств измерения (СИ) и аттестация измерительного оборудования (ИО) лаборатории исследования свойств грунтов."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",34,0.7172,0.72,0.5,0.69,3 Нормативные ссылки
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",35,0.7171,0.72,0.5,0.71,"6.5 Перечень оборудования, программно-технических средств, средств защиты информации и иных средств, по каждому сотруднику согласовывается генеральным директором индивидуально, исходя из должностной инструкции работника."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",36,0.7171,0.72,0.0,0.0,11. График поверки средств измерений микроклимата в помещении архива АО «ВолгоградНИПИнефть» на 20__ год
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",37,0.717,0.72,0.0,0.0,Об учетно-финансовом отделе
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",38,0.7167,0.72,0.0,0.71,Инструментальный контроль
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",39,0.7159,0.72,0.52,0.69,5.1 Последовательность идентификации экологических аспектов
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",40,0.7158,0.72,0.0,0.0,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",41,0.7307,0.0,0.0,0.73,Исполнитель обязан:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",42,0.7276,0.0,0.0,0.73,7 Приемка материалов по окончании полевых работ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",43,0.7199,0.0,0.0,0.72,2 При использовании программных средств для разработки проектной и рабочей документации объем проверок может быть сокращен.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",44,0.7186,0.0,0.0,0.72,2 Квалификационные требования
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",45,0.7179,0.0,0.53,0.72,2 Квалификационные требования
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",46,0.716,0.0,0.0,0.72,2 Квалификационные требования
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",47,0.7153,0.0,0.0,0.72,Он обязан:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",48,0.7144,0.0,0.0,0.71,5 Контроль подготовки к работам
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",49,0.7106,0.0,0.0,0.71,1 Назначение
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",50,0.7097,0.0,0.0,0.71,4 Общие требования
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",51,0.7085,0.0,0.0,0.71,5 Порядок проведения нормоконтроля
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",52,0.7066,0.0,0.0,0.71,6 Предпроектная проработка
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",53,0.7061,0.0,0.0,0.71,Организация договорной работы
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",54,0.7047,0.0,0.0,0.7,1 Общие положения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",55,0.7034,0.0,0.0,0.7,9 Требования к передаче отходов сторонним специализированным организациям
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",56,0.7032,0.0,0.52,0.7,7 Последовательность формирования реестров экологических аспектов
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",57,0.7018,0.0,0.52,0.7,6 Полевой контроль и приемка полевых работ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",58,0.7004,0.0,0.0,0.7,6 Организация договорной работы
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",59,0.7001,0.0,0.0,0.7,8 Контроль и приемка камеральных работ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",60,0.7,0.0,0.0,0.7,3 Нормативные ссылки
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",61,0.6998,0.0,0.0,0.7,13 Заключительное положение
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",62,0.6987,0.0,0.0,0.7,"6 Обязанности и права специалиста, осуществляющего нормоконтроль"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",63,0.6986,0.0,0.0,0.7,3 Нормативные ссылки
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",64,0.6985,0.0,0.0,0.7,5 Порядок приема и перевода работника на дистанционную работу
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",65,0.6985,0.0,0.0,0.7,8 Требования к транспортированию отходов
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",66,0.6976,0.0,0.0,0.7,Организация договорной работы
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",67,0.6976,0.0,0.0,0.7,6 Идентификация и оценка рисков
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",68,0.6975,0.0,0.0,0.7,"9 Стадия экспертиз, защит и согласований"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",69,0.697,0.0,0.0,0.7,Организация договорной работы
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",70,0.6958,0.0,0.0,0.7,"7 Выполнение работ, оказание услуг"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",71,0.6954,0.0,0.0,0.7,5 Стадии выполнения работ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",72,0.695,0.0,0.0,0.7,Производственная информация
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",73,0.6944,0.0,0.0,0.69,Таблица 1
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",74,0.6942,0.0,0.5,0.69,Приложение В
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",75,0.6942,0.0,0.0,0.69,Приложение Г
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",76,0.6939,0.0,0.0,0.69,2 Область применения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",77,0.6935,0.0,0.0,0.69,Приложение В
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",78,0.6925,0.0,0.0,0.69,Техническая информация
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",79,0.6909,0.0,0.0,0.69,СОГЛАСОВАНО:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",80,0.6908,0.0,0.0,0.69,10 Порядок допуска к коммерческой тайне
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",81,0.6904,0.0,0.0,0.69,АО «ВолгоградНИПИнефть»
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",82,0.6904,0.0,0.0,0.69,Внутреннего трудового распорядка АО «ВолгоградНИПИнефть»
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",83,0.69,0.0,0.0,0.69,1 ОБЩИЕ ПОЛОЖЕНИЯ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",84,0.6899,0.0,0.0,0.69,1 Назначение.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",85,0.5839,0.0,0.58,0.0,2.2 Выполнение процедуры является обязательным для всех сотрудников Института.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",86,0.5674,0.0,0.57,0.0,4.1 Готовить проекты документов в рамках своей деятельности и предоставлять их на рассмотрение руководства.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",87,0.5533,0.0,0.55,0.0,№ п/п
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",88,0.5425,0.0,0.54,0.0,ЗАЯВКА на предоставление корпоративной мобильной связи
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",89,0.5403,0.0,0.54,0.0,"7.1 Работник несет ответственность за сохранность выданных ему средств корпоративной мобильной связи (SIM-карты, мобильного аппарата). В случае утери или неумышленной порчи средств корпоративной мобильной связи работник за счет личных денежных средств:"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",90,0.5365,0.0,0.54,0.0,"Приложение 7. Выпуск продукции на 20__ г. на основании заключенных договоров, с НДС."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",91,0.5221,0.0,0.52,0.0,"1.1 Данная инструкция определяет порядок приемки, регистрации и архивирования документов, переданных во временное пользование заказчиком или сторонней организацией, внешних нормативных документов, литературы, CD выполненных отчетов, а также научно-технической документации, образовавшейся в процессе производственной деятельности института."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",92,0.5191,0.0,0.52,0.0,"10 Функциональные обязанности должностных лиц по контролю качества геодезических, инженерно-изыскательских и картографических работ"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",93,0.5187,0.0,0.52,0.0,"6.11 Отходы IV-V классов опасности, предназначенные для захоронения на полигоне"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",94,0.5168,0.0,0.52,0.0,"3.6 Изучать специальную литературу и другую научно - техническую информацию, достижения отечественной и зарубежной науки и техники (в соответствующей области знаний) с целью их использования при разработке проектной документации"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",95,0.5141,0.0,0.51,0.0,Приложение 2. Перечень внутренней документации ИСМ отдела
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",96,0.5123,0.0,0.51,0.0,"3. Карточка на литературу, отчеты, архивные материалы:"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",97,0.5064,0.0,0.51,0.0,"Документы, подтверждающие расходы на проезд"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",98,0.5054,0.0,0.51,0.0,4.1 Внутренний доступ (доступ внутри организации).
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",99,0.5045,0.0,0.5,0.0,"10.1 Персонал, занятый накоплением и передачей отходов сторонним организациям, должен быть обучен правилам безопасности по обращению с отходами в объеме настоящей инструкции и инструкции по охране труда и промышленной безопасности  по  данному  рабочему  месту  и  несет  личную  ответственность  за соблюдение определенных в них требований безопасности."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",100,0.5025,0.0,0.5,0.0,Режим коммерческой тайны не может быть установлен в отношении следующих сведений:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",101,0.5017,0.0,0.5,0.0,"9.4 В течение 3 (трех) рабочих дней со дня возвращения из служебной командировки работник обязан представить в учетно-финансовый отдел авансовый отчет об израсходованных им суммах. Вместе с авансовым отчетом передаются документы (в оригинале), подтверждающие размер произведенных расходов, с указанием формы их оплаты (наличными, чеком, кредитной картой, безналичным перерасчетом). При зарубежных командировках к отчету прилагается ксерокопия отметок в заграничном паспорте."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",102,0.5011,0.0,0.5,0.0,Внутреннего трудового распорядка АО «ВолгоградНИПИнефть»
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",103,0.5007,0.0,0.5,0.0,2.2 Основные  принципы  служебного  поведения  работников  являются  основой поведения  граждан  в  связи  с  нахождением  их  в  трудовых  отношениях  с Институтом.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",104,0.7939,0.79,0.51,0.79,"6 Оценка, выбор и переоценка поставщиков."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",105,0.7832,0.76,0.0,0.78,Примечания
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",106,0.7754,0.74,0.0,0.78,"8 Верификация поставленной продукции, работ (услуг)"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",107,0.7572,0.72,0.0,0.76,2 Область применения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",108,0.7172,0.72,0.5,0.69,3 Нормативные ссылки
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",109,0.7667,0.69,0.0,0.77,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",110,0.6869,0.69,0.0,0.67,ИНСТРУКЦИЯ Внешние поставки «ИН-01-ВП»
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",111,0.6942,0.68,0.5,0.69,Приложение В
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",112,0.7234,0.67,0.0,0.72,5 Основные положения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",113,0.7272,0.67,0.0,0.73,Приложение А
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",114,0.6612,0.66,0.0,0.64,Приложение Б
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",115,0.6586,0.66,0.0,0.65,СОГЛАСОВАНО:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",116,0.7138,0.66,0.0,0.71,1 Назначение
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",117,0.6771,0.65,0.0,0.68,Приложение Д
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",118,0.6942,0.65,0.0,0.69,Приложение Г
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",119,0.7349,0.62,0.0,0.73,"4 Термины, обозначения, сокращения"
3,Нужно ли ежегодно проводить переоценку поставщиков?,1,0.8603,0.86,0.0,0.78,6.2 Плановая оценка/переоценка поставщиков
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,0.7816,0.78,0.54,0.76,7.15
3,Нужно ли ежегодно проводить переоценку поставщиков?,3,0.7698,0.77,0.0,0.72,Оценка и выбор поставщиков
3,Нужно ли ежегодно проводить переоценку поставщиков?,4,0.7695,0.77,0.0,0.72,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
3,Нужно ли ежегодно проводить переоценку поставщиков?,5,0.7683,0.77,0.0,0.73,"3.3 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
3,Нужно ли ежегодно проводить переоценку поставщиков?,6,0.7691,0.77,0.0,0.77,"7.10 По результатам идентификации и оценки рисков в масштабах всего Института, Реестр рисков ежегодно пересматривается, уточняется и/или дополняется."
3,Нужно ли ежегодно проводить переоценку поставщиков?,7,0.7634,0.76,0.0,0.75,5.5 Сотрудник или сотрудники вышеуказанных подразделений на систематической основе должны осуществлять деятельность по:
3,Нужно ли ежегодно проводить переоценку поставщиков?,8,0.7629,0.76,0.0,0.73,"9.6 Замечания внутренней экспертизы, экспертизы Заказчика и внешних экспертиз к ПД должны анализироваться РПП, ГИПом (ОИ). Если в результате анализа выявляются повторяющиеся замечания и/или тенденции к увеличению замечаний, РПП, ГИП (ОИ) обязаны выявлять причины замечаний с документированием последующих действий, а в случае необходимости инициировать корректирующие действия в соответствии с процедурой «Корректирующие действия» (ПР-10.2-КД):"
3,Нужно ли ежегодно проводить переоценку поставщиков?,9,0.7625,0.76,0.0,0.73,"10.7 Замечания Заказчика полученные в Анкете оценки Заказчиком продукции АО «ВолгоградНИПИнефть» должны анализироваться РПП, ГИПом (ОИ). Если в результате анализа выявляются повторяющиеся замечания и/или тенденции РПП, ГИП (ОИ) обязаны инициировать корректирующие действия в соответствии с процедурой «Корректирующие действия» (ПР-10.2-КД)."
3,Нужно ли ежегодно проводить переоценку поставщиков?,10,0.7617,0.76,0.0,0.71,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
3,Нужно ли ежегодно проводить переоценку поставщиков?,11,0.761,0.76,0.0,0.71,4.1 Термины и определения:
3,Нужно ли ежегодно проводить переоценку поставщиков?,12,0.7608,0.76,0.53,0.75,3 Метрологическое обеспечение
3,Нужно ли ежегодно проводить переоценку поставщиков?,13,0.7491,0.75,0.0,0.71,Список сотрудников ответственных за внешние поставки
3,Нужно ли ежегодно проводить переоценку поставщиков?,14,0.768,0.75,0.0,0.77,8.6 Результатом проверок может быть:
3,Нужно ли ежегодно проводить переоценку поставщиков?,15,0.7439,0.74,0.0,0.72,"Требования, предъявляемые к организациям, осуществляющим сервисное обслуживание"
3,Нужно ли ежегодно проводить переоценку поставщиков?,16,0.7386,0.74,0.0,0.0,6.5 Контроль и оценка эффективности процессов
3,Нужно ли ежегодно проводить переоценку поставщиков?,17,0.738,0.74,0.0,0.0,История документа
3,Нужно ли ежегодно проводить переоценку поставщиков?,18,0.7375,0.74,0.0,0.0,История документа
3,Нужно ли ежегодно проводить переоценку поставщиков?,19,0.7413,0.74,0.0,0.74,Он обязан:
3,Нужно ли ежегодно проводить переоценку поставщиков?,20,0.7571,0.74,0.0,0.76,"4.5 В целях повышения качества и сокращения объема ПСД, нормоконтролер должен:"
3,Нужно ли ежегодно проводить переоценку поставщиков?,21,0.7354,0.74,0.0,0.0,4.3 Требовать от всех сотрудников отдела:
3,Нужно ли ежегодно проводить переоценку поставщиков?,22,0.7326,0.73,0.0,0.73,6.3 Работодатель обязан:
3,Нужно ли ежегодно проводить переоценку поставщиков?,23,0.7325,0.73,0.0,0.71,"1.15 При изменении условий работы, уточнении и перераспределении задач и функций настоящее Положение может быть пересмотрено, изменено или дополнено, по согласованию с Нижне-Волжским Управлением Ростехнадзора. Все изменения и дополнения к настоящему Положению вносятся в «Лист изменений и дополнений» на основании соответствующего приказа."
