session_index,question,bitrix_message,question_type,answer_mode,decompose,confidence,rewrite_entity,rewrite_attribute,search_strategy,search_text,search_mode,search_level,search_limit,pass1_hit_count,pass2_section_hit_count,selected_doc_id,selected_doc_title,anchor_number,anchor_main_section_id,top_section_number,context_chars,context_blocks,final_context_chars,sources_count,answer_template,answer_context_chars,raw_response_chars,final_response_chars,time_classify,time_rewrite,time_search_fetch,time_answer,time_total,http_calls_count,question_mismatch
12,Какие есть классы опасности отходов?,Какие есть классы опасности отходов?,definition,single,False,0.92,,,A (definition),классы опасности отходы,sparse,[2],10,,5,,ИН-01-ПОО,,,,1834,3,1834,3,definition,1834,204,204,2.44,1.27,0.28,2.52,6.52,4,False
13,Сколько можно хранить отходы у себя на территории?,Сколько можно хранить отходы у себя на территории?,fact,single,True,0.92,,,A (fact),,,null,,,5,,ИН-01-ПОО,,,,4081,13,4081,3,fact_single,4081,94,94,2.62,2.14,0.21,1.98,6.95,4,False
14,Есть ли ограничения по сроку хранения отходов I класса?,Есть ли ограничения по сроку хранения отходов I класса?,fact,single,True,0.92,,,A (fact),,,null,,,5,,ИН-01-ПОО,,,,4081,13,4081,3,fact_single,4081,136,136,2.88,2.38,0.2,2.24,7.7,4,False
15,Есть ли ограничения по сроку хранения отходов?,Есть ли ограничения по сроку хранения отходов?,,,,,,,A (fact),,,null,,,5,,ИН-01-ПОО,,,,4081,13,4081,3,fact_single,4081,145,145,2.89,2.1,0.2,2.48,7.66,4,False
16,Кто такой федеральный оператор в контексте отходов?,Кто такой федеральный оператор в контексте отходов?,,,,,,,A (definition),федеральный оператор отходы,sparse,[2],10,,5,,ИН-01-ПОО,,,,830,3,830,3,definition,830,97,97,2.42,1.37,0.28,1.08,5.15,4,False
17,Кто отвечает за ведение учета отходов?,Кто отвечает за ведение учета отходов?,fact,single,True,0.92,,,A (fact),,,null,,,5,,ИН-01-ПОО,,,,1052,7,1052,3,fact_single,1052,137,137,2.76,2.21,0.21,2.04,7.22,4,False
18,Что делать после того как нашли новый тендер?,Что делать после того как нашли новый тендер?,procedure,steps,True,0.92,тендер,последовательность действий,B (procedure),тендер,hybrid,"[0, 1]",8,8,10,,ИН-01-ПТП,6,77dd50b6-5b1c-4f07-accd-144219173d60,5,5592,15,5592,3,procedure,5592,1668,1668,1.88,2.16,0.28,17.92,22.25,4,False
19,Что нужно делать на предпроектной проработке?,Что нужно делать на предпроектной проработке?,procedure,steps,True,0.92,предпроектная проработка,порядок выполнения,B (procedure),предпроектная проработка,hybrid,"[0, 1]",8,8,,,ИН-01-СВР,6,3a16ecd6-f2fd-4acf-9652-0c90e971c497,,1878,6,1878,3,procedure,1878,954,954,2.3,2.69,0.11,9.04,14.13,4,False
20,Что включается в бюджет командировки?,Что включается в бюджет командировки?,fact,single,True,0.92,,,A (fact),,,null,,,5,,ПЛ-13-К,,,,3143,5,3143,3,fact_single,3143,475,475,2.82,1.9,0.2,4.85,9.77,4,False
21,Каким видом транспорта можно ездить в командировки?,Каким видом транспорта можно ездить в командировки?,fact,single,True,0.92,,,A (fact),,,null,,,5,,ПЛ-13-К,,,,308,1,308,1,fact_single,308,143,143,3.21,2.38,0.2,1.27,7.08,4,False
22,Какого класса билет на самолет можно купить при командировке?,Какого класса билет на самолет можно купить при командировке?,fact,single,True,0.92,,,A (fact),билет самолет командировке,sparse,[2],10,,5,,ПЛ-13-К,,,,1614,4,1614,3,fact_single,1614,32,32,3.44,1.61,0.87,0.75,7.14,4,False
23,Какого класса поездка может быть на самолете?,Какого класса поездка может быть на самолете?,,,,,,,A (definition),поездка самолете класса,sparse,[2],10,,5,,ПЛ-13-К,,,,1866,4,1866,3,definition,1866,32,32,1.81,1.06,0.36,0.72,3.95,4,False
24,как планируются транспортные расходы?,как планируются транспортные расходы?,broad_overview,steps,False,0.92,Как планируются транспортные расходы?,Как планируются транспортные расходы?,B (broad_overview),Как планируются транспортные расходы?,hybrid,"[0, 1]",8,8,,,ПЛ-13-К,5,57dcfe9a-cd07-44b2-ab6a-42551069633f,,3081,5,3081,3,procedure,3081,1235,1235,1.95,0.93,0.11,7.96,10.96,4,False
25,Какие задачи у отдела геологии?,Какие задачи у отдела геологии?,broad_overview,list,True,0.92,отдел геологии,задачи,B (broad_overview),отдел геологии,hybrid,"[0, 1]",8,8,10,,ПЛ-07,2,e774b897-211e-42e5-9bf7-47ee30b0bb6e,3,1060,6,1060,3,broad_overview,1060,459,459,1.61,1.45,0.19,2.92,6.18,4,False
26,Что такое риск?,Что такое риск?,definition,single,False,0.95,,,A (definition),,,null,,,5,,ИН-01-УР,,,,2734,3,2734,3,definition,2734,192,192,1.66,0.68,0.19,1.76,4.29,4,False
27,Какие бывают виды рисков,Какие бывают виды рисков,broad_overview,summary,False,0.92,Какие существуют риски?,Какие существуют риски?,B (broad_overview),Какие существуют риски?,hybrid,"[0, 1]",8,8,10,,ИН-01-УР,4,0c103ec2-7700-4027-aa1a-525e89fb7e7b,4,13250,34,13250,3,broad_overview,13250,2012,2012,1.94,1.08,0.2,17.24,20.46,4,False
28,Что такое финансовые риски?,Что такое финансовые риски?,,,,,,,A (definition),,,null,,,5,,ИН-01-УР,,,,10575,31,10575,3,definition,10575,793,793,1.62,0.84,0.2,8.07,10.73,4,False
29,Что такое коммерческая тайна?,Что такое коммерческая тайна?,,,,,,,A (definition),коммерческая тайна,sparse,[2],10,,5,,ПЛ-01-КТ,,,,644,2,644,2,definition,644,270,270,1.71,0.95,0.29,1.95,4.91,4,False
30,Какие сведения относятся к коммерческой тайне?,Какие сведения относятся к коммерческой тайне?,,,,,,,A (definition),,,null,,,5,,ПЛ-01-КТ,,,,813,4,813,3,definition,813,153,153,1.74,1.13,0.21,1.54,4.62,4,False
31,Что будет если превысить лимиты корпоративной мобильной связи?,Что будет если превысить лимиты корпоративной мобильной связи?,fact,single,False,0.92,,,A (fact),превышение лимитов корпоративной мобильной связи,sparse,[2],10,,5,,ПЛ-13-КМС,,,,1578,4,1578,3,fact_single,1578,260,260,2.31,1.37,0.3,2.18,6.15,4,False
32,Что будет если превысить лимиты корпоративной мобильной связи?,,fact,single,False,0.92,,,A (fact),превышение лимитов корпоративной мобильной связи,sparse,[2],10,,5,,ПЛ-13-КМС,,,,4021,13,4021,3,fact_single,4021,260,260,2.28,1.37,0.9,2.66,7.69,4,False
33,Что входит в персональные данные сотрудников?,Что входит в персональные данные сотрудников?,,,,,,,A (definition),персональные данные сотрудников,sparse,[2],10,,5,,ПЛ-20-ЗПДР,,,,1967,4,1967,3,definition,1967,909,909,1.68,1.05,0.27,6.46,9.46,4,False
34,Какие данные являются персональными?,Какие данные являются персональными?,,,,,,,A (definition),персональные данные персональные,sparse,[2],10,,5,,ПЛ-20-ЗПДР,,,,1967,4,1967,3,definition,1967,1200,1200,1.69,1.03,0.29,8.22,11.22,4,False
35,Какие задачи у финансового отдела?,Какие задачи у финансового отдела?,broad_overview,list,True,0.92,финансовый отдел,задачи,B (broad_overview),финансовый отдел,hybrid,"[0, 1]",8,8,10,,ПЛ-13,2,3211a286-1072-4bc7-a601-b6dd4260b0ff,3,1766,10,1766,3,broad_overview,1766,1605,1605,1.95,1.42,0.28,9.51,13.16,4,False
36,Куда нужно класть файлы при регистрации архивов?,Куда нужно класть файлы при регистрации архивов?,procedure,steps,True,0.92,архивы,размещение при регистрации,B (procedure),архивы,hybrid,"[0, 1]",8,8,7,,ИН-15-РегАрх,2,c997c706-1e93-4166-8def-e9c1ae5cdd5d,2,5073,20,5073,3,procedure,5073,111,111,2.34,1.68,0.28,1.91,6.22,4,False
37,Какая структура у каталогов диска P?,Какая структура у каталогов диска P?,definition,single,False,0.92,,,A (definition),ПТП каталоги структура,sparse,[2],10,,5,,РИ-10-СтруктКат,,,,3256,2,3256,2,definition,3256,1436,1436,2.04,1.13,0.28,11.7,15.16,4,False
38,Что такое реестр экологических аспектов?,Что такое реестр экологических аспектов?,,,,,,,A (definition),,,null,,,5,,ПР-6.1.2-ИЭА,,,,1050,4,1050,3,definition,1050,186,186,1.74,1.03,0.21,1.47,4.45,4,False
39,Кому подчиняется полевая партия?,Кому подчиняется полевая партия?,fact,single,True,0.92,,,A (fact),полевая партия,sparse,[2],10,,5,,ПЛ-08-ПП,,,,423,2,423,2,fact_single,423,156,156,2.57,1.4,0.29,1.39,5.65,4,False
40,В каком документе описан порядок внешних поставок?,В каком документе описан порядок внешних поставок?,norm_reference,steps,False,0.95,,,C (norm_reference),В каком документе описан порядок внешних поставок?,hybrid,"[0, 1]",8,,,,ИН-01-ВП,,,,119,2,119,2,norm_reference,119,95,95,1.91,1.1,0.2,1.15,4.36,4,False
41,Где прописаны правила командировок?,Где прописаны правила командировок?,norm_reference,reference,False,0.95,,,C (norm_reference),Где прописаны правила командировок?,hybrid,"[0, 1]",8,,,,ПЛ-13-К,,,,205,2,205,2,norm_reference,205,168,168,1.89,0.95,0.21,1.39,4.44,4,False
42,Что будет если превысить лимиты корпоративной мобильной связи?,Что будет если превысить лимиты корпоративной мобильной связи?,fact,single,False,0.92,,,A (fact),превышение лимитов корпоративной мобильной связи,sparse,[2],10,,5,,ПЛ-13-КМС,,,,4021,13,4021,3,fact_single,4021,260,260,2.28,1.37,0.9,2.66,7.69,4,False
43,Что входит в персональные данные сотрудников?,Что входит в персональные данные сотрудников?,,,,,,,A (definition),персональные данные сотрудников,sparse,[2],10,,5,,ПЛ-20-ЗПДР,,,,1967,4,1967,3,definition,1967,909,909,1.68,1.05,0.27,6.46,9.46,4,False
44,Какие данные являются персональными?,Какие данные являются персональными?,,,,,,,A (definition),персональные данные персональные,sparse,[2],10,,5,,ПЛ-20-ЗПДР,,,,1967,4,1967,3,definition,1967,1200,1200,1.69,1.03,0.29,8.22,11.22,4,False
45,Какие задачи у финансового отдела?,Какие задачи у финансового отдела?,broad_overview,list,True,0.92,финансовый отдел,задачи,B (broad_overview),финансовый отдел,hybrid,"[0, 1]",8,8,10,,ПЛ-13,2,3211a286-1072-4bc7-a601-b6dd4260b0ff,3,1766,10,1766,3,broad_overview,1766,1605,1605,1.95,1.42,0.28,9.51,13.16,4,False
46,Куда нужно класть файлы при регистрации архивов?,Куда нужно класть файлы при регистрации архивов?,procedure,steps,True,0.92,архивы,размещение при регистрации,B (procedure),архивы,hybrid,"[0, 1]",8,8,7,,ИН-15-РегАрх,2,c997c706-1e93-4166-8def-e9c1ae5cdd5d,2,5073,20,5073,3,procedure,5073,111,111,2.34,1.68,0.28,1.91,6.22,4,False
47,Какая структура у каталогов диска P?,Какая структура у каталогов диска P?,definition,single,False,0.92,,,A (definition),ПТП каталоги структура,sparse,[2],10,,5,,РИ-10-СтруктКат,,,,3256,2,3256,2,definition,3256,1436,1436,2.04,1.13,0.28,11.7,15.16,4,False
48,Что такое реестр экологических аспектов?,Что такое реестр экологических аспектов?,,,,,,,A (definition),,,null,,,5,,ПР-6.1.2-ИЭА,,,,1050,4,1050,3,definition,1050,186,186,1.74,1.03,0.21,1.47,4.45,4,False
49,Кому подчиняется полевая партия?,Кому подчиняется полевая партия?,fact,single,True,0.92,,,A (fact),полевая партия,sparse,[2],10,,5,,ПЛ-08-ПП,,,,423,2,423,2,fact_single,423,156,156,2.57,1.4,0.29,1.39,5.65,4,False
50,В каком документе описан порядок внешних поставок?,В каком документе описан порядок внешних поставок?,norm_reference,steps,False,0.95,,,C (norm_reference),В каком документе описан порядок внешних поставок?,hybrid,"[0, 1]",8,,,,ИН-01-ВП,,,,119,2,119,2,norm_reference,119,95,95,1.91,1.1,0.2,1.15,4.36,4,False
51,Где прописаны правила командировок?,Где прописаны правила командировок?,norm_reference,reference,False,0.95,,,C (norm_reference),Где прописаны правила командировок?,hybrid,"[0, 1]",8,,,,ПЛ-13-К,,,,205,2,205,2,norm_reference,205,168,168,1.89,0.95,0.21,1.39,4.44,4,False
52,Есть ли у нас документ про управление рисками?,Есть ли у нас документ про управление рисками?,fact,single,False,0.92,,,A (fact),,,null,,,5,,ИН-01-УР,,,,614,4,614,3,fact_single,614,155,155,1.56,0.93,0.74,1.69,5.41,4,False
53,В каком документе описана защита персональных данных сотрудников?,В каком документе описана защита персональных данных сотрудников?,norm_reference,reference,False,0.95,,,C (norm_reference),В каком документе описана защита персональных данных сотрудников?,hybrid,"[0, 1]",8,,,,ПЛ-20-ЗПДР,,,,172,2,172,2,norm_reference,172,167,167,1.68,1.23,0.2,1.7,4.81,4,False
54,Где описываются правила по обращению с отходами,Где описываются правила по обращению с отходами,norm_reference,reference,False,0.92,,,C (norm_reference),Где описываются правила по обращению с отходами,hybrid,"[0, 1]",8,,,,ИН-01-ПОО,,,,1794,2,1794,2,norm_reference,1794,221,221,1.76,1.07,0.21,2.22,5.26,4,False
55,Какой документ регулирует корпоративную мобильную связь?,Какой документ регулирует корпоративную мобильную связь?,norm_reference,reference,False,0.92,,,C (norm_reference),Какой документ регулирует корпоративную мобильную связь?,hybrid,"[0, 1]",8,,,,ПЛ-13-КМС,,,,336,2,336,2,norm_reference,336,194,194,2.2,1.15,0.21,2.02,5.58,4,False
56,В каком документе найти сруткуру каталогов,В каком документе найти сруткуру каталогов,norm_reference,reference,False,0.92,,,C (norm_reference),В каком документе найти структуру каталогов,hybrid,"[0, 1]",8,,,,РИ-10-СтруктКат,,,,177,2,177,2,norm_reference,177,185,185,1.57,0.99,0.21,2.15,4.93,4,False
57,Есть ли регламент по идентификации экологических аспектов?,Есть ли регламент по идентификации экологических аспектов?,norm_reference,reference,False,0.92,,,C (norm_reference),Есть ли регламент по идентификации экологических аспектов?,hybrid,"[0, 1]",8,,,,ПР-6.1.2-ИЭА,,,,1147,2,1147,2,norm_reference,1147,977,977,1.67,1.28,0.21,6.21,9.38,4,False
58,Какие задачи у отдела бурения и проектирования строительства скважин?,Какие задачи у отдела бурения и проектирования строительства скважин?,broad_overview,list,True,0.92,отдел бурения и проектирования строительства скважин,задачи,B (broad_overview),отдел бурения и проектирования строительства скважин,hybrid,"[0, 1]",8,8,10,,ПЛ-12,1,835328ac-042c-4552-a719-f0498ef91dfb,3,2833,2,2833,2,broad_overview,2833,1013,1013,2.82,2.19,0.22,7.23,12.47,4,False
59,Чем занимается полевая партия отдела инженерных изысканий?,Чем занимается полевая партия отдела инженерных изысканий?,broad_overview,summary,True,0.92,полевая партия отдела инженерных изысканий,функциональные задачи,B (broad_overview),полевая партия отдела инженерных изысканий,hybrid,"[0, 1]",8,8,8,,ПЛ-08-ПП,2,f64cec53-3035-4a92-8439-a31dcf50755f,4,2086,22,2086,3,broad_overview,2086,1822,1822,2.43,2.16,0.21,13.03,17.83,4,False
60,Какие функции у учетно-финансового отдела?,Какие функции у учетно-финансового отдела?,broad_overview,list,False,0.92,Какие функции выполняет учетно-финансовый отдел?,Какие функции выполняет учетно-финансовый отдел?,B (broad_overview),Какие функции выполняет учетно-финансовый отдел?,hybrid,"[0, 1]",8,8,10,,ПЛ-13,2,65e6b033-b542-410d-9693-74d394a2c579,1,5403,21,5403,3,broad_overview,5403,3908,3908,1.75,1.07,0.23,25.49,28.54,4,False
61,Какие есть стадии выполнения проектных работ?,Какие есть стадии выполнения проектных работ?,,,,,проектные работы,стадии выполнения,B (procedure),проектные работы,hybrid,"[0, 1]",8,8,10,,ИН-01-СВР,6,3a16ecd6-f2fd-4acf-9652-0c90e971c497,2,7426,13,7426,3,procedure,7426,188,188,2.75,2.0,0.19,4.02,8.97,4,False
62,Как транспортировать отходы IV класса опасности,Как транспортировать отходы IV класса опасности,,,,,отходы IV класса опасности,транспортирование,B (procedure),отходы IV класса опасности,hybrid,"[0, 1]",8,8,10,,ИН-01-ПОО,8,4708a7e8-07f8-4bfc-8f13-9ec7f83025db,8,1767,7,1767,3,procedure,1767,237,237,2.07,1.85,0.21,2.04,6.16,4,False
63,Что входит в процесс управления рисками?,Что входит в процесс управления рисками?,broad_overview,summary,False,0.92,Что входит в процесс управления рисками?,Что входит в процесс управления рисками?,B (broad_overview),Что входит в процесс управления рисками?,hybrid,"[0, 1]",8,8,10,,ИН-01-УР,4,0c103ec2-7700-4027-aa1a-525e89fb7e7b,5,3289,7,3289,3,broad_overview,3289,289,289,1.71,0.95,0.22,2.72,5.61,4,False
64,Что значит накопление отходов?,Что значит накопление отходов?,,,,,,,A (definition),,,null,,,5,,ИН-01-ПОО,,,,7901,6,7901,3,definition,7901,156,156,1.72,0.97,0.23,2.88,5.8,4,False
65,Что такое субподрядная работа?,Что такое субподрядная работа?,,,,,,,A (definition),,,null,,,5,,ПЛ-08-ОВКК,,,,669,1,669,1,definition,669,208,208,1.69,0.87,0.22,1.55,4.34,4,False
66,Что такое верификация поставки?,Что такое верификация поставки?,,,,,,,A (definition),,,null,,,5,,ИН-01-ВП,,,,2527,11,2527,3,definition,2527,202,202,1.68,0.93,0.72,1.82,5.62,4,False
67,Как оформляется заявление командировку?,Как оформляется заявление командировку?,procedure,steps,True,0.92,заявление на командировку,оформление,B (procedure),заявление на командировку,hybrid,"[0, 1]",8,8,10,,ПЛ-13-К,1,a0772b62-7d24-41b3-b0ef-79d2b56147dc,2,4400,15,4400,3,procedure,4400,1342,1342,1.74,1.54,0.19,10.88,14.35,4,False
