session_index,question,rank,score,level,number,doc_id,title
3,Нужно ли ежегодно проводить переоценку поставщиков?,5,0.7423,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
4,Надо ли каждый год переоценивать поставщиков?,1,0.8195,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
4,Надо ли каждый год переоценивать поставщиков?,2,0.768,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
4,Надо ли каждый год переоценивать поставщиков?,3,0.7614,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
4,Надо ли каждый год переоценивать поставщиков?,4,0.751,1,5,b497403b-04e3-423e-bb5a-670c170f5a33,5 Основные положения
4,Надо ли каждый год переоценивать поставщиков?,5,0.7423,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
5,Какие документы нужно получить от поставщика после поставки?,1,0.8091,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
5,Какие документы нужно получить от поставщика после поставки?,2,0.8011,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
5,Какие документы нужно получить от поставщика после поставки?,3,0.7914,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
5,Какие документы нужно получить от поставщика после поставки?,4,0.7895,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
5,Какие документы нужно получить от поставщика после поставки?,5,0.7863,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение В
6,Перечисли документы которые нужно получить у поставщика,1,0.806,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
6,Перечисли документы которые нужно получить у поставщика,2,0.8007,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение В
6,Перечисли документы которые нужно получить у поставщика,3,0.7989,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
6,Перечисли документы которые нужно получить у поставщика,4,0.7941,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
6,Перечисли документы которые нужно получить у поставщика,5,0.7937,1,1,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение А
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",1,0.7936,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,0.7591,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",3,0.7477,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",4,0.7424,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",5,0.7418,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",6,0.7397,1,5,b497403b-04e3-423e-bb5a-670c170f5a33,5 Основные положения
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",7,0.738,1,3,b497403b-04e3-423e-bb5a-670c170f5a33,3 Нормативные ссылки
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",8,0.7339,1,1,b497403b-04e3-423e-bb5a-670c170f5a33,1 Назначение
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",9,0.7259,1,1,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение А
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",10,0.7258,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение В
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,1,0.747,1,1,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение А
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,2,0.7264,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение Г
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,3,0.7224,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение В
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,4,0.7199,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,5,0.7095,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
9,Есть ли у нас регламент по обращению с отходами?,1,0.832,1,3,51f0707f-97b3-49db-a477-bbfb7bc32c51,3 Нормативные ссылки
9,Есть ли у нас регламент по обращению с отходами?,2,0.8302,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
9,Есть ли у нас регламент по обращению с отходами?,3,0.8299,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
9,Есть ли у нас регламент по обращению с отходами?,4,0.8261,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
9,Есть ли у нас регламент по обращению с отходами?,5,0.8261,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
10,В чем разница между накоплением и хранением отходов?,1,0.8277,1,4,51f0707f-97b3-49db-a477-bbfb7bc32c51,"4 Термины, обозначения, сокращения"
10,В чем разница между накоплением и хранением отходов?,2,0.825,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
10,В чем разница между накоплением и хранением отходов?,3,0.825,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
10,В чем разница между накоплением и хранением отходов?,4,0.8061,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
10,В чем разница между накоплением и хранением отходов?,5,0.7992,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
11,В чем разница между накоплением и хранением отходов?,1,0.8277,1,4,51f0707f-97b3-49db-a477-bbfb7bc32c51,"4 Термины, обозначения, сокращения"
11,В чем разница между накоплением и хранением отходов?,2,0.825,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
11,В чем разница между накоплением и хранением отходов?,3,0.825,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
11,В чем разница между накоплением и хранением отходов?,4,0.8061,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
11,В чем разница между накоплением и хранением отходов?,5,0.7992,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
12,Какие есть классы опасности отходов?,1,0.8443,1,5,51f0707f-97b3-49db-a477-bbfb7bc32c51,5 Основные положения
12,Какие есть классы опасности отходов?,2,0.8341,1,9,51f0707f-97b3-49db-a477-bbfb7bc32c51,9 Требования к передаче отходов сторонним специализированным организациям
12,Какие есть классы опасности отходов?,3,0.8274,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
12,Какие есть классы опасности отходов?,4,0.7967,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
12,Какие есть классы опасности отходов?,5,0.7957,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
13,Сколько можно хранить отходы у себя на территории?,1,0.8129,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
13,Сколько можно хранить отходы у себя на территории?,2,0.8129,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
13,Сколько можно хранить отходы у себя на территории?,3,0.8035,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
13,Сколько можно хранить отходы у себя на территории?,4,0.7987,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
13,Сколько можно хранить отходы у себя на территории?,5,0.7985,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
14,Есть ли ограничения по сроку хранения отходов I класса?,1,0.8133,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
14,Есть ли ограничения по сроку хранения отходов I класса?,2,0.8057,1,9,51f0707f-97b3-49db-a477-bbfb7bc32c51,9 Требования к передаче отходов сторонним специализированным организациям
14,Есть ли ограничения по сроку хранения отходов I класса?,3,0.8055,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
14,Есть ли ограничения по сроку хранения отходов I класса?,4,0.8052,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
14,Есть ли ограничения по сроку хранения отходов I класса?,5,0.8052,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
15,Есть ли ограничения по сроку хранения отходов?,1,0.8215,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
15,Есть ли ограничения по сроку хранения отходов?,2,0.8166,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
15,Есть ли ограничения по сроку хранения отходов?,3,0.8166,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
15,Есть ли ограничения по сроку хранения отходов?,4,0.8147,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
15,Есть ли ограничения по сроку хранения отходов?,5,0.8142,1,4,51f0707f-97b3-49db-a477-bbfb7bc32c51,"4 Термины, обозначения, сокращения"
16,Кто такой федеральный оператор в контексте отходов?,1,0.7991,1,9,51f0707f-97b3-49db-a477-bbfb7bc32c51,9 Требования к передаче отходов сторонним специализированным организациям
16,Кто такой федеральный оператор в контексте отходов?,2,0.782,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
16,Кто такой федеральный оператор в контексте отходов?,3,0.7595,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
16,Кто такой федеральный оператор в контексте отходов?,4,0.759,1,4,51f0707f-97b3-49db-a477-bbfb7bc32c51,"4 Термины, обозначения, сокращения"
16,Кто такой федеральный оператор в контексте отходов?,5,0.7477,1,11,51f0707f-97b3-49db-a477-bbfb7bc32c51,11 Контроль
17,Кто отвечает за ведение учета отходов?,1,0.837,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
17,Кто отвечает за ведение учета отходов?,2,0.8275,1,12,51f0707f-97b3-49db-a477-bbfb7bc32c51,12 Ответственность
17,Кто отвечает за ведение учета отходов?,3,0.8274,1,11,51f0707f-97b3-49db-a477-bbfb7bc32c51,11 Контроль
17,Кто отвечает за ведение учета отходов?,4,0.8095,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
17,Кто отвечает за ведение учета отходов?,5,0.8067,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
18,Что делать после того как нашли новый тендер?,1,0.7682,1,5,a32fd8d9-8b27-4b58-924e-d65f28b9450a,5 Ответственность.
18,Что делать после того как нашли новый тендер?,2,0.745,1,1,a32fd8d9-8b27-4b58-924e-d65f28b9450a,1 Назначение.
18,Что делать после того как нашли новый тендер?,3,0.7328,1,4,a32fd8d9-8b27-4b58-924e-d65f28b9450a,4 Нормативные ссылки
18,Что делать после того как нашли новый тендер?,4,0.7128,1,2,a32fd8d9-8b27-4b58-924e-d65f28b9450a,2 Область применения
18,Что делать после того как нашли новый тендер?,5,0.7105,1,4,a32fd8d9-8b27-4b58-924e-d65f28b9450a,"Приложение 4 Образец оформления документа, содержащего более одной страницы."
18,Что делать после того как нашли новый тендер?,6,0.7041,1,6,a32fd8d9-8b27-4b58-924e-d65f28b9450a,6 Основные этапы подготовки ТП.
18,Что делать после того как нашли новый тендер?,7,0.6987,1,3,a32fd8d9-8b27-4b58-924e-d65f28b9450a,"Приложение 3 Образец документа, заверенного генеральным директором."
18,Что делать после того как нашли новый тендер?,8,0.694,1,2,a32fd8d9-8b27-4b58-924e-d65f28b9450a,ИНСТРУКЦИЯ По подготовке тендерного предложения «ИН-01-ПТП»
18,Что делать после того как нашли новый тендер?,9,0.6874,1,2,a32fd8d9-8b27-4b58-924e-d65f28b9450a,Приложение 2 Исходные данные для составления смет.
18,Что делать после того как нашли новый тендер?,10,0.682,1,1,a32fd8d9-8b27-4b58-924e-d65f28b9450a,Приложение 1 Перечень документированной информации
20,Что включается в бюджет командировки?,1,0.8916,1,5,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,5 Бюджет командировки
20,Что включается в бюджет командировки?,2,0.8083,1,9,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,9 Окончание работ. Отчет о командировке
20,Что включается в бюджет командировки?,3,0.8052,1,6,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,6 Организация командировки
20,Что включается в бюджет командировки?,4,0.7946,1,1,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,Приложение А
20,Что включается в бюджет командировки?,5,0.7899,1,2,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,2 Нормативные ссылки
21,Каким видом транспорта можно ездить в командировки?,1,0.8031,1,3,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,3 Термины и определения
21,Каким видом транспорта можно ездить в командировки?,2,0.8004,1,7,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,7 Организация работы командированного сотрудника
21,Каким видом транспорта можно ездить в командировки?,3,0.7955,1,6,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,6 Организация командировки
21,Каким видом транспорта можно ездить в командировки?,4,0.7951,1,8,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,8 Срок и режим командировки
21,Каким видом транспорта можно ездить в командировки?,5,0.791,1,4,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,4 Командировки
22,Какого класса билет на самолет можно купить при командировке?,1,0.7842,1,6,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,6 Организация командировки
22,Какого класса билет на самолет можно купить при командировке?,2,0.7765,1,1,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,Приложение А
22,Какого класса билет на самолет можно купить при командировке?,3,0.7649,1,7,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,Приложение Г
22,Какого класса билет на самолет можно купить при командировке?,4,0.7635,1,5,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,5 Бюджет командировки
22,Какого класса билет на самолет можно купить при командировке?,5,0.7581,1,9,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,9 Окончание работ. Отчет о командировке
23,Какого класса поездка может быть на самолете?,1,0.7387,1,3,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,3 Термины и определения
23,Какого класса поездка может быть на самолете?,2,0.7302,1,1,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,Приложение А
23,Какого класса поездка может быть на самолете?,3,0.7291,1,5,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,5 Бюджет командировки
23,Какого класса поездка может быть на самолете?,4,0.7275,1,7,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,Приложение Г
23,Какого класса поездка может быть на самолете?,5,0.7228,1,6,6d3fc189-3fa6-4183-8d1e-0f02c42b7e28,6 Организация командировки
25,Какие задачи у отдела геологии?,1,0.8585,1,3,a109cc23-575d-4d18-9dfa-56a6e79da6c7,3 Задачи
25,Какие задачи у отдела геологии?,2,0.783,1,4,a109cc23-575d-4d18-9dfa-56a6e79da6c7,4 Функции
25,Какие задачи у отдела геологии?,3,0.7405,1,5,a109cc23-575d-4d18-9dfa-56a6e79da6c7,Отдел имеет право:
25,Какие задачи у отдела геологии?,4,0.724,1,2,a109cc23-575d-4d18-9dfa-56a6e79da6c7,Приложение 2. Перечень внутренней документации
25,Какие задачи у отдела геологии?,5,0.7207,1,7,a109cc23-575d-4d18-9dfa-56a6e79da6c7,7 Организация и стадии выполнения проектных работ
25,Какие задачи у отдела геологии?,6,0.7151,1,4,a109cc23-575d-4d18-9dfa-56a6e79da6c7,Приложение 4. Перечень рабочих инструкций
25,Какие задачи у отдела геологии?,7,0.7149,1,5,a109cc23-575d-4d18-9dfa-56a6e79da6c7,Приложение 5. Перечень программного обеспечения отдела
25,Какие задачи у отдела геологии?,8,0.7144,1,3,a109cc23-575d-4d18-9dfa-56a6e79da6c7,Приложение 3. Перечень регламентированных бизнес-процессов
25,Какие задачи у отдела геологии?,9,0.7129,1,8,a109cc23-575d-4d18-9dfa-56a6e79da6c7,8 Список приложений
25,Какие задачи у отдела геологии?,10,0.71,1,1,a109cc23-575d-4d18-9dfa-56a6e79da6c7,СОГЛАСОВАНО:
26,Что такое риск?,1,0.8381,1,4,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,"4 Термины, обозначения, сокращения"
26,Что такое риск?,2,0.7754,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
26,Что такое риск?,3,0.7754,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
26,Что такое риск?,4,0.7754,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
26,Что такое риск?,5,0.7725,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
27,Какие бывают виды рисков,1,0.8017,1,4,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,"4 Термины, обозначения, сокращения"
27,Какие бывают виды рисков,2,0.8,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
27,Какие бывают виды рисков,3,0.7886,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
27,Какие бывают виды рисков,4,0.7886,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
27,Какие бывают виды рисков,5,0.7886,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
27,Какие бывают виды рисков,6,0.7728,1,1,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,1 Назначение
27,Какие бывают виды рисков,7,0.7714,1,6,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,6 Идентификация и оценка рисков
27,Какие бывают виды рисков,8,0.7687,1,2,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,Приложение В
27,Какие бывают виды рисков,9,0.7668,1,2,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,Приложение Б
27,Какие бывают виды рисков,10,0.7649,1,5,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,5 Основные положения
28,Что такое финансовые риски?,1,0.812,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
28,Что такое финансовые риски?,2,0.7998,1,4,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,"4 Термины, обозначения, сокращения"
28,Что такое финансовые риски?,3,0.7571,1,1,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,1 Назначение
28,Что такое финансовые риски?,4,0.7547,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
28,Что такое финансовые риски?,5,0.7547,1,7,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,7 Реестр рисков
29,Что такое коммерческая тайна?,1,0.8907,1,6,3d52d932-3a30-4403-bfb1-7d1575434c06,6 Понятие коммерческой тайны
29,Что такое коммерческая тайна?,2,0.8351,1,8,3d52d932-3a30-4403-bfb1-7d1575434c06,"8 Сведения, составляющие коммерческую тайну"
29,Что такое коммерческая тайна?,3,0.82,1,7,3d52d932-3a30-4403-bfb1-7d1575434c06,7 Порядок отнесения сведений к коммерческой тайне
29,Что такое коммерческая тайна?,4,0.8117,1,10,3d52d932-3a30-4403-bfb1-7d1575434c06,10 Порядок допуска к коммерческой тайне
29,Что такое коммерческая тайна?,5,0.7932,1,12,3d52d932-3a30-4403-bfb1-7d1575434c06,12 Ответственность за разглашение коммерческой тайны
30,Какие сведения относятся к коммерческой тайне?,1,0.8831,1,8,3d52d932-3a30-4403-bfb1-7d1575434c06,"8 Сведения, составляющие коммерческую тайну"
30,Какие сведения относятся к коммерческой тайне?,2,0.8792,1,6,3d52d932-3a30-4403-bfb1-7d1575434c06,6 Понятие коммерческой тайны
30,Какие сведения относятся к коммерческой тайне?,3,0.8576,1,7,3d52d932-3a30-4403-bfb1-7d1575434c06,7 Порядок отнесения сведений к коммерческой тайне
30,Какие сведения относятся к коммерческой тайне?,4,0.8278,1,10,3d52d932-3a30-4403-bfb1-7d1575434c06,10 Порядок допуска к коммерческой тайне
30,Какие сведения относятся к коммерческой тайне?,5,0.825,1,2,3d52d932-3a30-4403-bfb1-7d1575434c06,Приложение В
31,Что будет если превысить лимиты корпоративной мобильной связи?,1,0.8278,1,6,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,6 Нормы и порядок возмещения перерасхода лимита корпоративной мобильной связи
31,Что будет если превысить лимиты корпоративной мобильной связи?,2,0.8089,1,Д,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,Приложение Д
31,Что будет если превысить лимиты корпоративной мобильной связи?,3,0.8076,1,5,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,5 Правила пользования корпоративной мобильной связью
31,Что будет если превысить лимиты корпоративной мобильной связи?,4,0.807,1,Е,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,Приложение Е
31,Что будет если превысить лимиты корпоративной мобильной связи?,5,0.7934,1,7,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,"7 Материальная ответственность работника, использующего корпоративную SIM-карту и корпоративный мобильный аппарат"
32,Что будет если превысить лимиты корпоративной мобильной связи?,1,0.8726,1,4,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,4 Порядок предоставления корпоративной мобильной связи
32,Что будет если превысить лимиты корпоративной мобильной связи?,2,0.8278,1,6,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,6 Нормы и порядок возмещения перерасхода лимита корпоративной мобильной связи
32,Что будет если превысить лимиты корпоративной мобильной связи?,3,0.8258,1,2,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,ПОЛОЖЕНИЕ О корпоративной мобильной связи в АО «ВолгоградНИПИнефть» «ПЛ-13-КМС»
32,Что будет если превысить лимиты корпоративной мобильной связи?,4,0.819,1,5,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,5 Правила пользования корпоративной мобильной связью
32,Что будет если превысить лимиты корпоративной мобильной связи?,5,0.8097,1,Д,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,Приложение Д
33,Что входит в персональные данные сотрудников?,1,0.8817,1,2,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,2 Понятие и состав персональных данных
33,Что входит в персональные данные сотрудников?,2,0.8212,1,5,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,5 Защита персональных данных
33,Что входит в персональные данные сотрудников?,3,0.8208,1,1,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,1 Общие положения
33,Что входит в персональные данные сотрудников?,4,0.8183,1,5,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,5 Защита персональных данных
33,Что входит в персональные данные сотрудников?,5,0.8164,1,4,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,4 Доступ к персональным данным
34,Какие данные являются персональными?,1,0.8577,1,2,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,2 Понятие и состав персональных данных
34,Какие данные являются персональными?,2,0.8097,1,5,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,5 Защита персональных данных
34,Какие данные являются персональными?,3,0.8048,1,7,6cc0605c-2dc9-4cd7-8cd9-c8e4031560ee,"7 Ответственность за разглашение конфиденциальной информации, связанной с персональными данными"
