session_index,question,rank,score,level,number,doc_id,title
3,Нужно ли ежегодно проводить переоценку поставщиков?,10,0.7625,2,10.7,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,"10.7 Замечания Заказчика полученные в Анкете оценки Заказчиком продукции АО «ВолгоградНИПИнефть» должны анализироваться РПП, ГИПом (ОИ). Если в результате анализа выявляются повторяющиеся замечания и/или тенденции РПП, ГИП (ОИ) обязаны инициировать корректирующие действия в соответствии с процедурой «Корректирующие действия» (ПР-10.2-КД)."
3,Нужно ли ежегодно проводить переоценку поставщиков?,11,0.7617,2,3.5,da968b7a-00f4-495f-8795-2e5d2e3a437a,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
3,Нужно ли ежегодно проводить переоценку поставщиков?,12,0.761,2,4.1,b497403b-04e3-423e-bb5a-670c170f5a33,4.1 Термины и определения:
3,Нужно ли ежегодно проводить переоценку поставщиков?,13,0.7608,1,3,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,3 Метрологическое обеспечение
3,Нужно ли ежегодно проводить переоценку поставщиков?,14,0.7571,2,4.5,a4b664fc-78f7-4842-8390-48b66e41db44,"4.5 В целях повышения качества и сокращения объема ПСД, нормоконтролер должен:"
3,Нужно ли ежегодно проводить переоценку поставщиков?,15,0.7491,2,2.1,b497403b-04e3-423e-bb5a-670c170f5a33,Список сотрудников ответственных за внешние поставки
4,Надо ли каждый год переоценивать поставщиков?,1,0.8603,2,6.2,b497403b-04e3-423e-bb5a-670c170f5a33,6.2 Плановая оценка/переоценка поставщиков
4,Надо ли каждый год переоценивать поставщиков?,2,0.7816,2,7.15,b497403b-04e3-423e-bb5a-670c170f5a33,7.15
4,Надо ли каждый год переоценивать поставщиков?,3,0.7698,2,1.1,b497403b-04e3-423e-bb5a-670c170f5a33,Оценка и выбор поставщиков
4,Надо ли каждый год переоценивать поставщиков?,4,0.7695,2,3.5,82e7835d-d852-4441-819d-51e10c2ec9f2,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
4,Надо ли каждый год переоценивать поставщиков?,5,0.7691,2,7.10,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,"7.10 По результатам идентификации и оценки рисков в масштабах всего Института, Реестр рисков ежегодно пересматривается, уточняется и/или дополняется."
4,Надо ли каждый год переоценивать поставщиков?,6,0.7683,2,3.3,b4e2b5d2-431d-4e10-97b5-69902e997854,"3.3 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
4,Надо ли каждый год переоценивать поставщиков?,7,0.768,2,8.6,b497403b-04e3-423e-bb5a-670c170f5a33,8.6 Результатом проверок может быть:
4,Надо ли каждый год переоценивать поставщиков?,8,0.7634,2,5.5,b497403b-04e3-423e-bb5a-670c170f5a33,5.5 Сотрудник или сотрудники вышеуказанных подразделений на систематической основе должны осуществлять деятельность по:
4,Надо ли каждый год переоценивать поставщиков?,9,0.7629,2,9.6,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,"9.6 Замечания внутренней экспертизы, экспертизы Заказчика и внешних экспертиз к ПД должны анализироваться РПП, ГИПом (ОИ). Если в результате анализа выявляются повторяющиеся замечания и/или тенденции к увеличению замечаний, РПП, ГИП (ОИ) обязаны выявлять причины замечаний с документированием последующих действий, а в случае необходимости инициировать корректирующие действия в соответствии с процедурой «Корректирующие действия» (ПР-10.2-КД):"
4,Надо ли каждый год переоценивать поставщиков?,10,0.7625,2,10.7,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,"10.7 Замечания Заказчика полученные в Анкете оценки Заказчиком продукции АО «ВолгоградНИПИнефть» должны анализироваться РПП, ГИПом (ОИ). Если в результате анализа выявляются повторяющиеся замечания и/или тенденции РПП, ГИП (ОИ) обязаны инициировать корректирующие действия в соответствии с процедурой «Корректирующие действия» (ПР-10.2-КД)."
4,Надо ли каждый год переоценивать поставщиков?,11,0.7617,2,3.5,da968b7a-00f4-495f-8795-2e5d2e3a437a,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
4,Надо ли каждый год переоценивать поставщиков?,12,0.761,2,4.1,b497403b-04e3-423e-bb5a-670c170f5a33,4.1 Термины и определения:
4,Надо ли каждый год переоценивать поставщиков?,13,0.7608,1,3,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,3 Метрологическое обеспечение
4,Надо ли каждый год переоценивать поставщиков?,14,0.7571,2,4.5,a4b664fc-78f7-4842-8390-48b66e41db44,"4.5 В целях повышения качества и сокращения объема ПСД, нормоконтролер должен:"
4,Надо ли каждый год переоценивать поставщиков?,15,0.7491,2,2.1,b497403b-04e3-423e-bb5a-670c170f5a33,Список сотрудников ответственных за внешние поставки
5,Какие документы нужно получить от поставщика после поставки?,1,0.8394,2,7.14,b497403b-04e3-423e-bb5a-670c170f5a33,7.14
5,Какие документы нужно получить от поставщика после поставки?,2,0.8198,2,8.5,b497403b-04e3-423e-bb5a-670c170f5a33,8.5 Оборудование должно быть обеспечено необходимыми инструкциями по использованию со стороны поставщика.
5,Какие документы нужно получить от поставщика после поставки?,3,0.8175,1,1,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,Исполнитель обязан:
5,Какие документы нужно получить от поставщика после поставки?,4,0.806,1,2,2fffe16b-1ac7-4329-92a2-102d8df22882,ЛИСТ СОГЛАСОВАНИЯ ДОГОВОРА
5,Какие документы нужно получить от поставщика после поставки?,5,0.8051,2,4.4,f0dcd482-6011-4ae2-8c65-73cbab8efe3d,"4.4 Оформление документов, сопровождающих выпуск продукции (акты сдачи-приемки выполненных работ, сопроводительные письма), взаимодействие с заказчиками."
5,Какие документы нужно получить от поставщика после поставки?,6,0.7996,2,1.2,b497403b-04e3-423e-bb5a-670c170f5a33,1.2 Инструкция определяет порядок действий и согласований при внешних поставках:
5,Какие документы нужно получить от поставщика после поставки?,7,0.7992,2,7.1,42f98718-19b7-4033-b322-b89c595ab0bd,7.1 Распределение документов.
5,Какие документы нужно получить от поставщика после поставки?,8,0.7989,2,2.1,b497403b-04e3-423e-bb5a-670c170f5a33,Список сотрудников ответственных за внешние поставки
5,Какие документы нужно получить от поставщика после поставки?,9,0.7986,1,7,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,7 Приемка материалов по окончании полевых работ
5,Какие документы нужно получить от поставщика после поставки?,10,0.7973,1,3,69132fa9-0255-453e-b3a4-2c06c085f8ed,Приложение 3. Перечень документированной информации информационно-технического отдела.
5,Какие документы нужно получить от поставщика после поставки?,11,0.7954,2,7.4,6f828f92-a28f-416f-84dc-b05fd8343b19,"7.4 При подаче дистанционным работником заявления о выдаче заверенных надлежащим образом копий документов, связанных с работой (статья 62 ТК РФ), Институт не позднее трех рабочих дней со дня подачи указанного заявления обязан направить дистанционному работнику эти копии на бумажном носителе (по почте заказным письмом с уведомлением) или в форме электронного документа, если это указано в заявлении работника (в порядке взаимодействия (в том числе в связи с выполнением трудовой функции дистанционно, передачей результатов работы и отчетов о выполненной работе по запросам работодателя), настоящим положением, трудовым договором, дополнительным соглашением к трудовому договору."
5,Какие документы нужно получить от поставщика после поставки?,12,0.7924,2,2.1,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,Предпроектная стадия
5,Какие документы нужно получить от поставщика после поставки?,13,0.7914,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
5,Какие документы нужно получить от поставщика после поставки?,14,0.7913,1,4,80380323-bcb8-4422-9281-5ac9e9171259,Внутреннего трудового распорядка АО «ВолгоградНИПИнефть»
5,Какие документы нужно получить от поставщика после поставки?,15,0.7911,1,2,2fffe16b-1ac7-4329-92a2-102d8df22882,Организация договорной работы
6,Перечисли документы которые нужно получить у поставщика,1,0.8778,2,7.1,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,"7.1 Работник несет ответственность за сохранность выданных ему средств корпоративной мобильной связи (SIM-карты, мобильного аппарата). В случае утери или неумышленной порчи средств корпоративной мобильной связи работник за счет личных денежных средств:"
6,Перечисли документы которые нужно получить у поставщика,2,0.8683,2,6.1,b8b54622-18ad-4302-bea0-e53f1fc46da4,6.1 Методика оценки экологических аспектов
6,Перечисли документы которые нужно получить у поставщика,3,0.8565,2,7.14,b497403b-04e3-423e-bb5a-670c170f5a33,7.14
6,Перечисли документы которые нужно получить у поставщика,4,0.8265,1,2,2fffe16b-1ac7-4329-92a2-102d8df22882,ЛИСТ СОГЛАСОВАНИЯ ДОГОВОРА
6,Перечисли документы которые нужно получить у поставщика,5,0.8251,2,4.3,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,"4.3 При отсутствии у работника мобильного аппарата для пользования корпоративной мобильной связью, ему вместе с корпоративной SIM-картой может выдаваться корпоративный мобильный аппарат."
6,Перечисли документы которые нужно получить у поставщика,6,0.819,2,8.5,b497403b-04e3-423e-bb5a-670c170f5a33,8.5 Оборудование должно быть обеспечено необходимыми инструкциями по использованию со стороны поставщика.
6,Перечисли документы которые нужно получить у поставщика,7,0.8162,2,4.4,f0dcd482-6011-4ae2-8c65-73cbab8efe3d,"4.4 Оформление документов, сопровождающих выпуск продукции (акты сдачи-приемки выполненных работ, сопроводительные письма), взаимодействие с заказчиками."
6,Перечисли документы которые нужно получить у поставщика,8,0.8074,1,4,f0dcd482-6011-4ae2-8c65-73cbab8efe3d,Приложение 4. Перечень документированной информации отдела
6,Перечисли документы которые нужно получить у поставщика,9,0.8072,2,4.3,80380323-bcb8-4422-9281-5ac9e9171259,"4.3 При заключении трудового договора лицо, поступающее на работу, обязано предъявить следующие документы:"
6,Перечисли документы которые нужно получить у поставщика,10,0.806,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
6,Перечисли документы которые нужно получить у поставщика,11,0.8042,1,3,69132fa9-0255-453e-b3a4-2c06c085f8ed,Приложение 3. Перечень документированной информации информационно-технического отдела.
6,Перечисли документы которые нужно получить у поставщика,12,0.8033,2,6.1,2fffe16b-1ac7-4329-92a2-102d8df22882,"6.1 Порядок подготовки и оформления договоров, соглашений (дополнительного соглашения, соглашения на расторжение и т.п.) к ним представлен в таблице:"
6,Перечисли документы которые нужно получить у поставщика,13,0.8028,1,1,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,Исполнитель обязан:
6,Перечисли документы которые нужно получить у поставщика,14,0.8011,2,2.1,f0dcd482-6011-4ae2-8c65-73cbab8efe3d,Основные данные документа
6,Перечисли документы которые нужно получить у поставщика,15,0.8008,2,5.2,6f828f92-a28f-416f-84dc-b05fd8343b19,"5.2 При заключении трудового договора путем обмена электронными документами, предусмотренными статьей 65 ТК РФ, работнику необходимо предоставить:"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",1,0.746,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,0.7438,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",3,0.7239,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",4,0.7134,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",5,0.7097,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",6,0.6912,1,6,6f828f92-a28f-416f-84dc-b05fd8343b19,6 Порядок обеспечения дистанционных работников необходимым оборудованием и иными средствами
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",7,0.6904,1,1,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,Исполнитель обязан:
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",8,0.6892,1,7,2fffe16b-1ac7-4329-92a2-102d8df22882,"7 Выполнение работ, оказание услуг"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",1,0.7672,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,0.7637,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",3,0.7593,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",5,0.7542,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",6,0.7492,1,5,b497403b-04e3-423e-bb5a-670c170f5a33,5 Основные положения
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",7,0.7419,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",8,0.7386,1,7,2fffe16b-1ac7-4329-92a2-102d8df22882,"7 Выполнение работ, оказание услуг"
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,1,0.8508,2,4.8,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,4.8 На время отпуска или временной нетрудоспособности работника за ним сохраняется установленный лимит корпоративной связи в целях обеспечения оперативной связи в случае возникновения производственной необходимости.
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,2,0.8226,2,1.3,b497403b-04e3-423e-bb5a-670c170f5a33,Требования к компьютерам:
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,3,0.7876,1,7,b9d7b363-4f52-4b7e-a1e8-4b0f7b509793,"7 Материальная ответственность работника, использующего корпоративную SIM-карту и корпоративный мобильный аппарат"
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,4,0.7859,2,4.7,f0dcd482-6011-4ae2-8c65-73cbab8efe3d,"4.7 Формирование архива сканов договорной документации (договоры, дополнительные соглашения, акты сдачи-приемки выполненных работ)."
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,5,0.7735,1,6,b8b54622-18ad-4302-bea0-e53f1fc46da4,6 Определение существенного воздействия экологических аспектов на ОС
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,6,0.7626,2,6.5,b497403b-04e3-423e-bb5a-670c170f5a33,"6.5 Поставляемая компьютерная техника, расходные материалы для оргтехники, ПО должны соответствовать основным требованиям представленным в приложениях Б, В, Г."
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,7,0.7506,2,2.1,b497403b-04e3-423e-bb5a-670c170f5a33,Требования к поставляемому программному обеспечению
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,8,0.7471,2,4.1,69132fa9-0255-453e-b3a4-2c06c085f8ed,"4.1 Закупки оргтехники, комплектующих и программных продуктов."
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,9,0.742,2,2.2,b497403b-04e3-423e-bb5a-670c170f5a33,Требования к бумаге для оргтехники:
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,10,0.7416,1,2,b19cc873-30e3-4733-b9a7-d4222693d91f,Размер материальной помощи
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,11,0.7355,2,7.1,b497403b-04e3-423e-bb5a-670c170f5a33,7.1
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,12,0.7336,2,2.1,b497403b-04e3-423e-bb5a-670c170f5a33,Список сотрудников ответственных за внешние поставки
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,13,0.7316,2,2.1,1381f436-b246-4235-8ac2-f9c7ad474dc8,Общие сведения
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,14,0.7309,1,4,a4b664fc-78f7-4842-8390-48b66e41db44,4 Общие требования
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,15,0.7286,2,2.1,f0dcd482-6011-4ae2-8c65-73cbab8efe3d,Проекты договоров
9,Есть ли у нас регламент по обращению с отходами?,1,0.832,1,3,51f0707f-97b3-49db-a477-bbfb7bc32c51,3 Нормативные ссылки
9,Есть ли у нас регламент по обращению с отходами?,2,0.8302,1,8,51f0707f-97b3-49db-a477-bbfb7bc32c51,8 Требования к транспортированию отходов
9,Есть ли у нас регламент по обращению с отходами?,3,0.8299,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
9,Есть ли у нас регламент по обращению с отходами?,4,0.8261,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
9,Есть ли у нас регламент по обращению с отходами?,5,0.8261,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
9,Есть ли у нас регламент по обращению с отходами?,6,0.8261,2,11.1,51f0707f-97b3-49db-a477-bbfb7bc32c51,"11.1 При накоплении и передаче отходов специализированным лицензированным организациям должны соблюдаться действующие экологические, санитарноэпидемиологические, технические нормы и правила обращения с отходами."
9,Есть ли у нас регламент по обращению с отходами?,7,0.825,1,1,51f0707f-97b3-49db-a477-bbfb7bc32c51,1 Назначение
9,Есть ли у нас регламент по обращению с отходами?,8,0.8221,2,5.3,51f0707f-97b3-49db-a477-bbfb7bc32c51,5.3 Согласно Федеральному закону РФ «Об отходах производства и потребления» все подразделения Института обязаны:
9,Есть ли у нас регламент по обращению с отходами?,9,0.8151,1,4,51f0707f-97b3-49db-a477-bbfb7bc32c51,"4 Термины, обозначения, сокращения"
9,Есть ли у нас регламент по обращению с отходами?,10,0.8123,1,9,51f0707f-97b3-49db-a477-bbfb7bc32c51,9 Требования к передаче отходов сторонним специализированным организациям
9,Есть ли у нас регламент по обращению с отходами?,11,0.8091,1,10,51f0707f-97b3-49db-a477-bbfb7bc32c51,10 Безопасное обращение с отходами
9,Есть ли у нас регламент по обращению с отходами?,12,0.8017,1,1,51f0707f-97b3-49db-a477-bbfb7bc32c51,Инструкция о порядке обращения с отходами производства и потребления АО «ВолгоградНИПИнефть» «ИН-01-ПОО»
9,Есть ли у нас регламент по обращению с отходами?,13,0.8017,0,None,51f0707f-97b3-49db-a477-bbfb7bc32c51,ИН-01-ПОО
9,Есть ли у нас регламент по обращению с отходами?,14,0.7926,2,1.1,689ad134-88eb-469c-88cd-35e254e680a3,"1.1 Данная инструкция определяет порядок приемки, регистрации и архивирования документов, переданных во временное пользование заказчиком или сторонней организацией, внешних нормативных документов, литературы, CD выполненных отчетов, а также научно-технической документации, образовавшейся в процессе производственной деятельности института."
9,Есть ли у нас регламент по обращению с отходами?,15,0.7833,2,12.1,51f0707f-97b3-49db-a477-bbfb7bc32c51,12.1 Руководители структурных подразделений несут дисциплинарную ответственность:
10,В чем разница между накоплением и хранением отходов?,1,0.8277,1,4,51f0707f-97b3-49db-a477-bbfb7bc32c51,"4 Термины, обозначения, сокращения"
10,В чем разница между накоплением и хранением отходов?,2,0.825,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
10,В чем разница между накоплением и хранением отходов?,3,0.825,1,6,51f0707f-97b3-49db-a477-bbfb7bc32c51,6 Порядок накопления отходов
10,В чем разница между накоплением и хранением отходов?,4,0.8061,2,10.2,51f0707f-97b3-49db-a477-bbfb7bc32c51,10.2 Способы  накопления  отходов  и  их  передачи  сторонним  организациям  должны исключать возможность загрязнения окружающей территории.
10,В чем разница между накоплением и хранением отходов?,5,0.7994,1,2,b8b54622-18ad-4302-bea0-e53f1fc46da4,Идентификация экологических аспектов
10,В чем разница между накоплением и хранением отходов?,6,0.7992,1,7,51f0707f-97b3-49db-a477-bbfb7bc32c51,7 Порядок учета отходов
10,В чем разница между накоплением и хранением отходов?,7,0.778,2,11.1,51f0707f-97b3-49db-a477-bbfb7bc32c51,"11.1 При накоплении и передаче отходов специализированным лицензированным организациям должны соблюдаться действующие экологические, санитарноэпидемиологические, технические нормы и правила обращения с отходами."
10,В чем разница между накоплением и хранением отходов?,8,0.7776,1,8,b8b54622-18ad-4302-bea0-e53f1fc46da4,"8 Мониторинг, измерения, анализ и оценивание"
