id,question_type,question,expected_doc,sources_count,timing_total,doc_match,section_match,key_point_coverage,main_score,judge_label,judge_overall,judge_comment,judge_too_harsh,judge_doc_conflict,judge_answer_conflict
29,fact,Какие сведения относятся к коммерческой тайне?,ПЛ-01-КТ,3,4.620,1.000,0.500,1.000,0.900,partial,0.750,"ответ корректен, но не полностью соответствует ожидаемому",False,False,False
30,fact,Что будет если превысить лимиты корпоративной мобильной связи?,ПЛ-13-КМС,3,6.150,1.000,0.333,0.300,0.657,partial,0.750,"Ответ отвечает на вопрос, но не полностью охватывает все ключевые пункты и формулировки.",False,False,False
31,fact,Что входит в персональные данные сотрудников?,ПЛ-20-ЗПДР,3,9.460,1.000,1.000,1.000,1.000,partial,0.750,"Ответ содержит большую часть необходимых пунктов, но опущены некоторые важные детали.",False,False,False
32,definition,Какие данные являются персональными?,ПЛ-20-ЗПДР,3,11.220,1.000,0.500,0.167,0.650,partial,0.750,"Ответ содержит необходимую информацию, но не полностью соответствует эталону.",False,False,False
33,broad_overview,Какие задачи у финансового отдела?,ПЛ-13,3,13.160,1.000,1.000,0.786,0.936,partial,0.750,"ответ содержит все ключевые пункты, но не полностью соответствует эталону",False,False,False
35,procedure,Куда нужно класть файлы при регистрации архивов?,ИН-15-РегАрх,3,6.220,1.000,0.000,0.042,0.513,partial,0.750,"ответ содержит правильную информацию, но не полностью охватывает все важные пункты",False,False,False
36,fact,Какая структура у каталогов диска P?,РИ-10-СтруктКат,2,15.160,1.000,1.000,0.857,0.924,partial,0.750,"Ответ содержит большинство ключевых пунктов, но не полностью соответствует эталону.",False,False,False
37,definition,Что такое реестр экологических аспектов?,ПР-6.1.2-ИЭА,3,4.450,0.500,0.500,0.500,0.600,partial,0.750,"Ответ содержит основную информацию, но упустил важные детали и ранжирование.",False,False,False
38,fact,Кому подчиняется полевая партия?,ПЛ-08-ПП,2,5.650,1.000,1.000,0.750,0.892,partial,0.750,"ответ короткий, но точный",False,False,False
39,norm_reference,В каком документе описан порядок внешних поставок?,ИН-01-ВП,2,4.360,1.000,0.000,0.500,0.617,partial,0.750,"краткий ответ, но не полностью охватывает все ключевые пункты",False,False,False
40,norm_reference,Где прописаны правила командировок?,ПЛ-13-К,2,4.440,1.000,0.000,0.500,0.617,partial,0.750,"ответ не полностью отвечает на вопрос, упущены ключевые пункты",False,False,False
41,norm_reference,Есть ли у нас документ про управление рисками?,ИН-01-УР,3,5.410,1.000,1.000,1.000,1.000,partial,0.750,"ответ краткий, но точный",False,False,False
42,norm_reference,В каком документе описана защита персональных данных сотрудников?,ПЛ-20-ЗПДР,2,4.810,1.000,0.000,1.000,0.767,partial,0.750,"ответ содержит правильную информацию, но не полностью соответствует ожидаемому",False,False,False
43,norm_reference,Где описываются правила по обращению с отходами,ИН-01-ПОО,2,5.260,1.000,0.000,0.625,0.654,partial,0.750,ответ краток и не полностью отвечает на вопрос,False,False,False
44,norm_reference,Какой документ регулирует корпоративную мобильную связь?,ПЛ-13-КМС,2,5.580,1.000,0.000,1.000,0.767,partial,0.750,"ответ содержит правильный документ, но недостаточно полон и точен",False,False,False
45,norm_reference,В каком документе найти сруткуру каталогов,РИ-10-СтруктКат,2,4.930,1.000,0.500,0.500,0.717,partial,0.750,"ответ краток, но точен",False,False,False
46,norm_reference,Есть ли регламент по идентификации экологических аспектов?,ПР-6.1.2-ИЭА,2,9.380,0.500,1.000,1.000,0.817,partial,0.750,"ответ краток, не полностью охватывает суть процедуры",False,False,False
47,broad_overview,Какие задачи у отдела бурения и проектирования строительства скважин?,ИН-01-СВР,2,12.470,0.000,0.000,0.062,0.185,partial,0.750,"ответ отвечает на вопрос, но не полностью покрывает все ключевые пункты",False,False,False
48,broad_overview,Чем занимается полевая партия отдела инженерных изысканий?,ПЛ-08-ПП,3,17.830,1.000,1.000,0.417,0.825,partial,0.750,"ответ содержит больше информации, чем требуется, но не полностью отвечает на вопрос",False,False,False
49,broad_overview,Какие функции у учетно-финансового отдела?,ПЛ-13,3,28.540,1.000,0.000,0.583,0.675,partial,0.750,"ответ содержит все функции, но краток и не полностью соответствует эталону",False,False,False
51,procedure,Как транспортировать отходы IV класса опасности,ИН-01-ПОО,3,6.160,1.000,0.500,0.000,0.600,partial,0.750,"Ответ частично соответствует вопросу, но не полностью охватывает все важные аспекты.",False,False,False
52,broad_overview,Что входит в процесс управления рисками?,ИН-01-УР,3,5.610,1.000,0.000,0.750,0.725,partial,0.750,"Ответ короткий и не включает все ключевые пункты, такие как матрица рисков и реестр рисков.",False,False,False
53,definition,Что такое верификация поставки?,ИН-01-ВП,3,5.620,1.000,0.000,0.000,0.500,partial,0.750,"ответ краткий, не полностью охватывает ключевые пункты",False,False,False
54,definition,Что значит накопление отходов?,ИН-01-ПОО,3,5.800,1.000,0.000,0.667,0.700,partial,0.750,"ответ корректен, но не полностью охватывает все ключевые пункты",False,False,False
55,definition,Что такое субподрядная работа?,ИН-01-ВП,1,4.340,0.000,0.000,0.000,0.133,partial,0.750,ответ не полностью охватывает все ключевые пункты и немного упрощен,False,False,False
56,procedure,Как оформляется заявление командировку?,ПЛ-13-К,3,14.350,1.000,0.000,0.300,0.590,partial,0.750,"Ответ содержит основные шаги, но опущены некоторые детали и разделы.",False,False,False
